DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),01,586,CLASSE CI B
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),02,585,CLASSE CI A
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),03,585,CLASSE CP B
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),04,585,CLASSE CP A
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),05,584,CLASSE CE1 B
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),06,585,CLASSE CE1 A
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),07,585,CLASSE CE2 B
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),08,585,CLASSE CE2 A
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),09,586,CM1A
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),10,586,SALLE DE CLASSE
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),11,586,SALLE DE CLASSE
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),12,165,SALLE DE REUNION
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,01,599,CLASSE CI A
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,02,597,CLASSE CI B
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,03,598,CLASSE CI C
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,04,597,CLASSE CP A
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,05,597,CLASSE CP B
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,06,598,CLASSE CP C
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,07,598,CLASSE CM 2 A
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,08,596,CLASSE CM 2 B
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,09,598,CLASSE CM 2 C
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,10,596,CLASSE CE 1 C
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,11,598,CLASSE CE 1 B
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,12,600,CLASSE CE 1 A
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,13,599,CLASSE CE 2 B
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,14,598,CLASSE CE 2 C
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,15,598,CLASSE CE 2 A
