DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),01,597,CLASSE CM2 B
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),02,596,CLASSE CM1 C
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),03,600,CLASSE CM1 B
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),04,593,CLASSE CM1 A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),05,596,CLASSE CE2 B
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),06,593,CLASSE CE2 A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),07,593,CLASSE CE2 C
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),08,595,CLASSE CE1 C
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),09,596,CLASSE CP B
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),10,596,CLASSE CP A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),11,594,CLASSE CI B
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),12,599,CLASSE CI A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),13,595,CLASSE CM2 A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),14,596,SALLE DE CLASSE
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),15,598,SALLE DE CLASSE
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),16,599,SALLE DE CLASSE
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA KOITE (DIEUPPEUL),17,598,SALLE DE CLASSE
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA SECK B,01,498,CLASSE CP A COURS A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA SECK B,02,498,CLASSE CP B COURS A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA SECK B,03,501,CLASSE CE1 A COURS A
DAKAR,DIEUPPEUL DERKLE,ECOLE IBRAHIMA SECK B,04,501,CLASSE CM2 A COURS A
