DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),01,587,CLASSE CIA
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),02,580,CLASSE CPA
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),03,580,CLASSE CE1 A
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),04,585,CLASSE CIB
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),05,586,CLASSE CPB
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),06,585,CLASSE CE1 B
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),07,587,CLASSE CE2 A
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),08,585,CLASSE CE2 B
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),09,589,CLASSE CM1 A
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),10,585,CLASSE CM1 B
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),11,590,CLASSE CM2 A
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),12,591,CLASSE CM2 B
DAKAR,H L M,ECOLE AYNINA FALL (EX HLM 2),13,216,ECOLE LION (CLASSE CM1 B)
DAKAR,H L M,ECOLE HLM 4 E,01,598,CLASSE CPA
DAKAR,H L M,ECOLE HLM 4 E,02,593,CLASSE CE2 B
DAKAR,H L M,ECOLE HLM 4 E,03,591,CLASSE CM2 A
DAKAR,H L M,ECOLE HLM 4 E,04,599,SALLE DE CLASSE
DAKAR,H L M,ECOLE HLM 4 E,05,453,SALLE DE CLASSE
DAKAR,H L M,ECOLE LION,01,561,SALLE DE CLASSE
DAKAR,H L M,ECOLE LION,02,558,SALLE DE CLASSE
DAKAR,H L M,ECOLE LION,03,556,SALLE DE CLASSE
DAKAR,H L M,ECOLE LION,04,565,SALLE DE CLASSE
DAKAR,H L M,ECOLE LION,05,395,SALLE DE CLASSE
DAKAR,H L M,GROUPE SCOLAIRE HLM C ET D,01,589,CLASSE CM2 A
DAKAR,H L M,GROUPE SCOLAIRE HLM C ET D,02,591,CLASSE CM1 B
DAKAR,H L M,GROUPE SCOLAIRE HLM C ET D,03,591,CLASSE CE2 A
DAKAR,H L M,GROUPE SCOLAIRE HLM C ET D,04,590,CLASSE CE1 B
DAKAR,H L M,GROUPE SCOLAIRE HLM C ET D,05,589,CLASSE CPA
DAKAR,H L M,GROUPE SCOLAIRE HLM C ET D,06,591,CLASSE CM1 A
DAKAR,H L M,GROUPE SCOLAIRE HLM C ET D,07,591,SALLE DE CLASSE
DAKAR,H L M,GROUPE SCOLAIRE HLM C ET D,08,293,SALLE DE CLASSE
DAKAR,H L M,H.L.M 4 A,01,547,CLASSE CM2 A
DAKAR,H L M,H.L.M 4 A,02,541,CLASSE CM1 B
DAKAR,H L M,H.L.M 4 A,03,545,CLASSE CE2 A
DAKAR,H L M,H.L.M 4 A,04,541,CLASSE CE1 B
DAKAR,H L M,H.L.M 4 A,05,545,CLASSE CPA
DAKAR,H L M,H.L.M 4 A,06,547,CLASSE CM1 A
DAKAR,H L M,H.L.M 4 B,01,594,CLASSE CIA
DAKAR,H L M,H.L.M 4 B,02,594,CLASSE CIB
DAKAR,H L M,H.L.M 4 B,03,594,CLASSE CPA
DAKAR,H L M,H.L.M 4 B,04,596,CLASSE CPB
DAKAR,H L M,H.L.M 4 B,05,598,CLASSE CE1 A
DAKAR,H L M,H.L.M 4 B,06,596,CLASSE CE1 B
DAKAR,H L M,H.L.M 4 B,07,599,CLASSE CE2 A
DAKAR,H L M,H.L.M 4 B,08,593,CLASSE CE2 B
DAKAR,H L M,H.L.M 4 B,09,593,CLASSE CM1 A
DAKAR,H L M,H.L.M 4 B,10,593,SALLE DE CLASSE
DAKAR,H L M,H.L.M 4 B,11,599,SALLE DE CLASSE
