DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),01,600,CLASSE CM2 B
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),02,600,CLASSE CM2 A
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),03,600,CLASSE CP A
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),04,600,CLASSE CI B
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),05,600,CLASSE CI A
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),06,600,CLASSE CP B
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),07,600,CLASSE CM1 A
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),08,600,CLASSE CM1 B
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),09,600,CLASSE CE2  A
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),10,600,CLASSE CE2 B
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),11,600,CLASSE CE1 A
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),12,600,CLASSE CE1 B
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),13,600,ECOLE MAMOUR DIAKHATE
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),14,603,ECOLE MAMOUR DIAKHATE
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),15,600,ECOLE MAMOUR DIAKHATE
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),16,595,ECOLE MAMOUR DIAKHATE
DAKAR,MEDINA,ECOLE ALASSANE NDIAYE ALLOU (MED F),17,228,ECOLE MAMOUR DIAKHATE
DAKAR,MEDINA,ECOLE EH MBAYE D. DEGAYE (MEDINA 3),01,391,CLASSE CM2 A
DAKAR,MEDINA,ECOLE EH MBAYE D. DEGAYE (MEDINA 3),02,390,CLASSE CM2 B
DAKAR,MEDINA,ECOLE EH MBAYE D. DEGAYE (MEDINA 3),03,396,CLASSE CM 1 A
DAKAR,MEDINA,ECOLE EH MBAYE D. DEGAYE (MEDINA 3),04,390,CLASSE CI A
DAKAR,MEDINA,ECOLE EH MBAYE D. DEGAYE (MEDINA 3),05,392,CLASSE CE2 A
DAKAR,MEDINA,ECOLE MALICK SY,01,575,GIBRALTAR 3 MEDINA
DAKAR,MEDINA,ECOLE MALICK SY,02,572,GIBRALTAR 3 MEDINA
DAKAR,MEDINA,ECOLE MALICK SY,03,573,GIBRALTAR 3 MEDINA
DAKAR,MEDINA,ECOLE MALICK SY,04,569,GIBRALTAR 3 MEDINA
DAKAR,MEDINA,ECOLE MALICK SY,05,581,GIBRALTAR 3 MEDINA
DAKAR,MEDINA,ECOLE MAMOUR DIAKHATE(EX MEDINA 4),01,545,CLASSE CI A
DAKAR,MEDINA,ECOLE MAMOUR DIAKHATE(EX MEDINA 4),02,550,CLASSE CI B
DAKAR,MEDINA,ECOLE MAMOUR DIAKHATE(EX MEDINA 4),03,542,CLASSE CP A
DAKAR,MEDINA,ECOLE MAMOUR DIAKHATE(EX MEDINA 4),04,546,CLASSE CP B
DAKAR,MEDINA,ECOLE MAMOUR DIAKHATE(EX MEDINA 4),05,544,CLASSE CM2 B
DAKAR,MEDINA,ECOLE MAMOUR DIAKHATE(EX MEDINA 4),06,553,CLASSE CM2 A
DAKAR,MEDINA,ECOLE MAMOUR DIAKHATE(EX MEDINA 4),07,546,CLASSE CM1 B
DAKAR,MEDINA,ECOLE MAMOUR DIAKHATE(EX MEDINA 4),08,552,CLASSE CM1 A
DAKAR,MEDINA,ECOLE MOUR DIOP,01,599,SALLE DE CLASSE
DAKAR,MEDINA,ECOLE MOUR DIOP,02,596,CLASSE CM2 B
DAKAR,MEDINA,Lieu de vote,Bureau,Electeurs,
DAKAR,MEDINA,ECOLE MOUR DIOP,03,596,CLASSE CM1 A
DAKAR,MEDINA,ECOLE MOUR DIOP,04,594,CLASSE CM1 B
DAKAR,MEDINA,ECOLE MOUR DIOP,05,594,CLASSE CE2 A
DAKAR,MEDINA,ECOLE MOUR DIOP,06,594,CLASSE CE2 B
DAKAR,MEDINA,ECOLE MOUR DIOP,07,600,CLASSE CE1 A
DAKAR,MEDINA,ECOLE MOUR DIOP,08,593,CLASSE CE1 B
DAKAR,MEDINA,ECOLE MOUR DIOP,09,594,CLASSE CP A
DAKAR,MEDINA,ECOLE MOUR DIOP,10,596,CLASSE CP B
DAKAR,MEDINA,ECOLE MOUR DIOP,11,600,CLASSE CI A
DAKAR,MEDINA,ECOLE MOUR DIOP,12,599,CLASSE CI B
DAKAR,MEDINA,ECOLE MOUR DIOP,13,600,CASE TOUT-PETITS DABAKH MALICK
DAKAR,MEDINA,ECOLE MOUR DIOP,14,599,CASE TOUT-PETITS DABAKH MALICK
DAKAR,MEDINA,ECOLE MOUR DIOP,15,596,CASE TOUT-PETITS DABAKH MALICK
DAKAR,MEDINA,ECOLE MOUR DIOP,16,600,CASE TOUT-PETITS DABAKH MALICK
DAKAR,MEDINA,ECOLE MOUR DIOP,17,600,CASE TOUT-PETITS DABAKH MALICK
DAKAR,MEDINA,ECOLE MOUR DIOP,18,596,CEM MANSOUR SY MALICK BV 18
DAKAR,MEDINA,ECOLE MOUR DIOP,19,593,CEM MANSOUR SY MALICK BV 19
DAKAR,MEDINA,ECOLE MOUR DIOP,20,599,CEM MANSOUR SY MALICK BV 20
DAKAR,MEDINA,ECOLE MOUR DIOP,21,599,CEM MANSOUR SY MALICK BV 21
DAKAR,MEDINA,ECOLE MOUR DIOP,22,599,CEM MANSOUR SY MALICK BV 22
DAKAR,MEDINA,ECOLE MOUR DIOP,23,595,CEM MANSOUR SY MALICK
DAKAR,MEDINA,ECOLE MOUR DIOP,24,599,CEM MANSOUR SY MALICK
DAKAR,MEDINA,ECOLE MOUR DIOP,25,585,CEM MANSOUR SY MALICK
DAKAR,MEDINA,ECOLE MOUR DIOP,26,597,CEM MANSOUR SY MALICK
DAKAR,MEDINA,ECOLE MOUR DIOP,27,117,CASE DES TOUT PETITS MAME DABAKH
DAKAR,MEDINA,ECOLE NAGO SAMB (GIBRALTAR),01,563,SALLE N ° 1
DAKAR,MEDINA,ECOLE NAGO SAMB (GIBRALTAR),02,557,SALLE N ° 2
DAKAR,MEDINA,ECOLE NAGO SAMB (GIBRALTAR),03,556,SALLE N ° 3
DAKAR,MEDINA,ECOLE NAGO SAMB (GIBRALTAR),04,557,SALLE N ° 4
DAKAR,MEDINA,ECOLE NAGO SAMB (GIBRALTAR),05,564,SALLE N ° 5
DAKAR,MEDINA,ECOLE NAGO SAMB (GIBRALTAR),06,559,CLASSE CI
DAKAR,MEDINA,ECOLE NAGO SAMB (GIBRALTAR),07,552,CLASSE CP
DAKAR,MEDINA,ECOLE NAGO SAMB (GIBRALTAR),08,573,CEM MARTIN LUTHER KING
DAKAR,MEDINA,ECOLE NAGO SAMB (GIBRALTAR),09,572,CEM MARTIN LUTHER KING
DAKAR,MEDINA,ECOLE NAGO SAMB (GIBRALTAR),10,566,CEM MARTIN LUTHER KING
DAKAR,MEDINA,ECOLE NAGO SAMB (GIBRALTAR),11,554,CEM MARTIN LUTHER KING
DAKAR,MEDINA,ECOLE NAGO SAMB (GIBRALTAR),12,553,CEM MARTIN LUTHER KING
DAKAR,MEDINA,ECOLE NAGO SAMB (GIBRALTAR),13,568,CEM MARTIN LUTHER KING
DAKAR,MEDINA,ECOLE NAGO SAMB (GIBRALTAR),14,336,CEM MARTIN LUTHER KING
DAKAR,MEDINA,Lieu de vote,Bureau,Electeurs,
DAKAR,MEDINA,ECOLE NAGO SAMB (GIBRALTAR),15,331,CEM MARTIN LUTHER KING
DAKAR,MEDINA,STADE IBA MAR DIOP,01,577,SALLE BATIMENT HAND BALL
DAKAR,MEDINA,STADE IBA MAR DIOP,02,582,SALLE BATIMENT HAND BALL
DAKAR,MEDINA,STADE IBA MAR DIOP,03,580,SALLE BATIMENT HAND BALL
DAKAR,MEDINA,STADE IBA MAR DIOP,04,579,SALLE BATIMENT HAND BALL
DAKAR,MEDINA,STADE IBA MAR DIOP,05,579,SALLE BATIMENT HAND BALL
DAKAR,MEDINA,STADE IBA MAR DIOP,06,581,SALLE BATIMENT HAND BALL
DAKAR,MEDINA,STADE IBA MAR DIOP,07,578,SALLE BATIMENT HAND BALL
DAKAR,MEDINA,STADE IBA MAR DIOP,08,582,SALLE DE LUTTE
DAKAR,MEDINA,STADE IBA MAR DIOP,09,577,SALON D'HONNEUR
DAKAR,MEDINA,STADE IBA MAR DIOP,10,578,SALON D'HONNEUR
DAKAR,MEDINA,STADE IBA MAR DIOP,11,579,SALLE DE L INSEPS
DAKAR,MEDINA,STADE IBA MAR DIOP,12,583,SALLE DE L INSEPS
DAKAR,MEDINA,STADE IBA MAR DIOP,13,578,SALLE DE L INSEPS
DAKAR,MEDINA,STADE IBA MAR DIOP,14,579,SALLE DE L INSEPS
