DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,MERMOZ SACRE COEUR,CASE DES TOUT PETITS V.D.N.,01,581,CLASSE GRANDE SECTION
DAKAR,MERMOZ SACRE COEUR,CASE DES TOUT PETITS V.D.N.,02,567,CLASSE MOYENNE SECTION
DAKAR,MERMOZ SACRE COEUR,CASE DES TOUT PETITS V.D.N.,03,571,SALLE DE CLASSE
DAKAR,MERMOZ SACRE COEUR,CASE DES TOUT PETITS V.D.N.,04,171,SALLE DE CLASSE
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,01,558,CLASSE CM2 C
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,02,561,CLASSE CM1 B
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,03,556,CLASSE CP A
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,04,558,CLASSE CP B
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,05,556,CLASSE CE1 A
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,06,558,CLASSE CE1 B
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,07,560,CLASSE CM1 A
DAKAR,MERMOZ SACRE COEUR,ECOLE LIBERTE 5,08,558,CLASSE CM2 B
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),01,580,CLASSE CI A
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),02,584,CLASSE CE1
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),03,578,CLASSE CE2
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),04,581,CLASSE CM1
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),05,577,CLASSE CM2 A
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),06,581,CLASSE CI B
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),07,579,CLASSE CP B
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),08,579,CLASSE CPA
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),09,581,SALLE DE CLASSE
DAKAR,MERMOZ SACRE COEUR,ECOLE MASSE MASSAER NIANE1 (BAOBAB),10,195,SALLE INFORMATIQUE
DAKAR,MERMOZ SACRE COEUR,ECOLE NAFISSATOU NIANG,01,571,CLASSE CE1 A
DAKAR,MERMOZ SACRE COEUR,ECOLE NAFISSATOU NIANG,02,575,CLASSE CI A
DAKAR,MERMOZ SACRE COEUR,ECOLE NAFISSATOU NIANG,03,573,CLASSE CE2 A
DAKAR,MERMOZ SACRE COEUR,ECOLE NAFISSATOU NIANG,04,566,CLASSE CM1 A
DAKAR,MERMOZ SACRE COEUR,ECOLE NAFISSATOU NIANG,05,564,CLASSE CM2 B
DAKAR,MERMOZ SACRE COEUR,ECOLE NAFISSATOU NIANG,06,396,CLASSE CM1
DAKAR,MERMOZ SACRE COEUR,ECOLE WORE,01,579,CLASSE CM2
DAKAR,MERMOZ SACRE COEUR,ECOLE WORE,02,595,CLASSE CM1
DAKAR,MERMOZ SACRE COEUR,ECOLE WORE,03,590,CLASSE CE2
DAKAR,MERMOZ SACRE COEUR,ECOLE WORE,04,595,CLASSE CE1
DAKAR,MERMOZ SACRE COEUR,ECOLE WORE,05,584,CLASSE CP
DAKAR,MERMOZ SACRE COEUR,ECOLE WORE,06,587,CLASSE CI
DAKAR,MERMOZ SACRE COEUR,ECOLE WORE,07,593,SALLE DES PROFESSEURS
DAKAR,MERMOZ SACRE COEUR,ECOLE WORE,08,584,SALLE DE CLASSE
DAKAR,MERMOZ SACRE COEUR,ECOLE WORE,09,421,ECOLE MAARIF DKR SALLE 9
DAKAR,MERMOZ SACRE COEUR,LYCEE NGALANDOU DIOUF,01,597,CLASSE PREMIERE S1 N26
DAKAR,MERMOZ SACRE COEUR,LYCEE NGALANDOU DIOUF,02,597,CLASSE PREMIERE S2A N27
DAKAR,MERMOZ SACRE COEUR,LYCEE NGALANDOU DIOUF,03,598,CLASSE CINQUIEME A1 N23
DAKAR,MERMOZ SACRE COEUR,LYCEE NGALANDOU DIOUF,04,598,CLASSE SIXIEME A1 N7
DAKAR,MERMOZ SACRE COEUR,LYCEE NGALANDOU DIOUF,05,598,CLASSE SIXIEME M1C N9
DAKAR,MERMOZ SACRE COEUR,LYCEE NGALANDOU DIOUF,06,597,CLASSE SIXIEME D N10
DAKAR,MERMOZ SACRE COEUR,LYCEE NGALANDOU DIOUF,07,597,SALLE DE CLASSE
DAKAR,MERMOZ SACRE COEUR,LYCEE NGALANDOU DIOUF,08,597,SALLE DE CLASSE
DAKAR,MERMOZ SACRE COEUR,LYCEE NGALANDOU DIOUF,09,258,SALLE DE CLASSE
