DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,NGOR,ECOLE ALIEU SAMB,01,582,CLASSE CM2
DAKAR,NGOR,ECOLE ALIEU SAMB,02,576,CLASSE CE2
DAKAR,NGOR,ECOLE ALIEU SAMB,03,574,CLASSE CE1
DAKAR,NGOR,ECOLE ALIEU SAMB,04,568,CLASSE CI
DAKAR,NGOR,ECOLE ALIEU SAMB,05,553,SALLE DE CLASSE
DAKAR,NGOR,ECOLE ALIEU SAMB,06,349,SALLE DE CLASSE
DAKAR,NGOR,ECOLE BAITYR SAMB,01,595,CLASSE CIA
DAKAR,NGOR,ECOLE BAITYR SAMB,02,595,CLASSE CPA
DAKAR,NGOR,ECOLE BAITYR SAMB,03,597,CLASSE CE1A
DAKAR,NGOR,ECOLE BAITYR SAMB,04,595,CLASSE CM2A
DAKAR,NGOR,ECOLE BAITYR SAMB,05,596,CLASSE CM2B
DAKAR,NGOR,ECOLE BAITYR SAMB,06,594,SALLE DE CLASSE
DAKAR,NGOR,ECOLE BAITYR SAMB,07,598,SALLE DE CLASSE
DAKAR,NGOR,ECOLE BAITYR SAMB,08,595,SALLE DE CLASSE
DAKAR,NGOR,UNIVERSITE POLYTECHNIQUE OUEST AFRICAIN,01,574,SALLE 1
DAKAR,NGOR,UNIVERSITE POLYTECHNIQUE OUEST AFRICAIN,02,575,SALLE 2
DAKAR,NGOR,UNIVERSITE POLYTECHNIQUE OUEST AFRICAIN,03,580,SALLE 3
DAKAR,NGOR,UNIVERSITE POLYTECHNIQUE OUEST AFRICAIN,04,576,SALLE 7
DAKAR,NGOR,UNIVERSITE POLYTECHNIQUE OUEST AFRICAIN,05,317,SALLE 4
