DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,OUAKAM,ECOLE 6,01,583,CLASSE CM2A
DAKAR,OUAKAM,ECOLE 6,02,584,CLASSE CM1A
DAKAR,OUAKAM,ECOLE 6,03,583,CLASSE CE2A
DAKAR,OUAKAM,ECOLE 6,04,592,CLASSE CIA
DAKAR,OUAKAM,ECOLE 6,05,590,CLASSE CE1B
DAKAR,OUAKAM,ECOLE 6,06,585,SALLE DE CLASSE
DAKAR,OUAKAM,ECOLE 6,07,589,SALLE DE CLASSE
DAKAR,OUAKAM,ECOLE CITE ASECNA,01,600,CLASSE CIA
DAKAR,OUAKAM,ECOLE CITE ASECNA,02,600,CLASSE CIB
DAKAR,OUAKAM,ECOLE CITE ASECNA,03,600,CLASSE CPA
DAKAR,OUAKAM,ECOLE CITE ASECNA,04,600,CLASSE CM2B
DAKAR,OUAKAM,ECOLE CITE ASECNA,05,600,CLASSE CM2A
DAKAR,OUAKAM,ECOLE CITE ASECNA,06,600,CLASSE CM1B
DAKAR,OUAKAM,ECOLE CITE ASECNA,07,600,CLASSE CM1A
DAKAR,OUAKAM,ECOLE CITE ASECNA,08,600,CLASSE CE2B
DAKAR,OUAKAM,ECOLE CITE ASECNA,09,230,CLASSE CP B
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),01,597,CLASSE CPA
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),02,598,CLASSE CPB
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),03,597,CLASSE CM1A
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),04,595,CLASSE CM2B
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),05,598,CLASSE CM2A
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),06,595,CLASSE CM1B
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),07,594,CLASSE CE2A
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),08,598,CLASSE CE2B
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),09,599,CLASSE CIB
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),10,596,CLASSE CE1B
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),11,597,CLASSE C1 A
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),12,598,SALLE DE CLASSE
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),13,594,SALLE DES MAITRES
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),14,600,BIBLIOTHEQUE
DAKAR,OUAKAM,ECOLE EH MBAYE DIOP (OUAKAM 2),15,598,MAGASIN
DAKAR,OUAKAM,ECOLE MAMADOU DIAGNE (OUAKAM 1),01,595,CLASSE CIA
DAKAR,OUAKAM,ECOLE MAMADOU DIAGNE (OUAKAM 1),02,595,CLASSE CM2A
DAKAR,OUAKAM,ECOLE MAMADOU DIAGNE (OUAKAM 1),03,593,CLASSE CM2B
DAKAR,OUAKAM,ECOLE MAMADOU DIAGNE (OUAKAM 1),04,595,CLASSE CE2A
DAKAR,OUAKAM,ECOLE MAMADOU DIAGNE (OUAKAM 1),05,594,CLASSE CE2B
DAKAR,OUAKAM,ECOLE MAMADOU DIAGNE (OUAKAM 1),06,594,CLASSE CE1A
DAKAR,OUAKAM,ECOLE MAMADOU DIAGNE (OUAKAM 1),07,595,SALLE DE CLASSE
DAKAR,OUAKAM,Lieu de vote,Bureau,Electeurs,
DAKAR,OUAKAM,ECOLE MAMADOU DIAGNE (OUAKAM 1),08,590,SALLE DE CLASSE
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,01,591,CLASSE CIA
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,02,589,CLASSE CPA
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,03,591,CLASSE CE1A
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,04,590,CLASSE CE2A
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,05,591,CLASSE CM1A
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,06,588,CLASSE CM1B
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,07,590,CLASSE CM2A
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,08,590,CLASSE CM2B
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,09,589,CLASSE CE2B
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,10,591,CLASSE CE1B
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,11,590,CLASSE CPB
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,12,590,CLASSE C1 B
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,13,590,ABRI PROVISOIRE
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,14,591,ABRI PROVISOIRE
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,15,590,GRP .SCOL.DJOKO MINI SECTION
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,16,592,GRP .SCOL.DJOKO MOYENNE SECTION
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,17,590,GRP .SCOL.DJOKO GRANDE SECTION
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,18,589,GRP .SCOL.DJOKO CRECHE
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,19,588,GRP.SCOL.DJOKO
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,20,592,ABRI PROVISOIRE
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,21,587,ABRI PROVISOIRE
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,22,591,ABRI PROVISOIRE
DAKAR,OUAKAM,ECOLE OUAKAM CAMP,23,594,ABRI PROVISOIRE
DAKAR,OUAKAM,ECOLE PRIVEE CITE AVION 2,01,395,CLASSE CE2
DAKAR,OUAKAM,ECOLE PRIVEE CITE AVION 2,02,399,CLASSE GRANDE SECTION
DAKAR,OUAKAM,ECOLE PRIVEE CITE AVION 2,03,399,CLASSE CM2
DAKAR,OUAKAM,INSTITUTION PRESC. LES PETITS PAS,01,280,CLASSE CI
DAKAR,OUAKAM,INSTITUTION PRESC. LES PETITS PAS,02,277,CLASSE GRANDE SECTION
DAKAR,OUAKAM,LYCEE OUAKAM,01,583,CLASSE TERMINALE L2
DAKAR,OUAKAM,LYCEE OUAKAM,02,583,CLASSE TROISIEME M1
DAKAR,OUAKAM,LYCEE OUAKAM,03,582,CLASSE QUATRIEME M1A
DAKAR,OUAKAM,LYCEE OUAKAM,04,583,SALLE DE CLASSE
DAKAR,OUAKAM,LYCEE OUAKAM,05,369,SALLE DE CLASSE
