DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,PLATEAU,C.E.S MALICK SY,01,572,SALLE 4 A
DAKAR,PLATEAU,C.E.S MALICK SY,02,568,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),01,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),02,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),03,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),04,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),05,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),06,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),07,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),08,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),09,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),10,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),11,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),12,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),13,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),14,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),15,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),16,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),17,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),18,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),19,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),20,600,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),21,456,UCAO
DAKAR,PLATEAU,ECOLE ADJA MAME Y. DIAGNE (THIONG),22,244,UCAO
DAKAR,PLATEAU,ECOLE BERTHE MAUBERT,01,540,CLASSE CE2 B
DAKAR,PLATEAU,ECOLE BERTHE MAUBERT,02,544,CLASSE CE 1 A
DAKAR,PLATEAU,ECOLE BERTHE MAUBERT,03,546,CLASSE CM 2 B
DAKAR,PLATEAU,ECOLE BERTHE MAUBERT,04,534,CLASSE CM2
DAKAR,PLATEAU,ECOLE BERTHE MAUBERT,05,448,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE CHEIKH AMADOU MBACKE (KLEBER),01,575,CLASSE CI A
DAKAR,PLATEAU,ECOLE CHEIKH AMADOU MBACKE (KLEBER),02,574,CLASSE CP B
DAKAR,PLATEAU,ECOLE CHEIKH AMADOU MBACKE (KLEBER),03,576,CLASSE CE1 A
DAKAR,PLATEAU,ECOLE CHEIKH AMADOU MBACKE (KLEBER),04,574,CLASSE CE2 A
DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),01,600,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),02,600,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),03,601,SALLE DE CLASSE
DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),04,600,SALLE DE CLASSE
DAKAR,PLATEAU,Lieu de vote,Bureau,Electeurs,
DAKAR,PLATEAU,ECOLE EH BIBI NDIAYE (FAIDHERBE),05,600,SALLE DE CLASSE
