DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DAKAR,YOFF,ECOLE ABABACAR LAYE,01,600,ECOLE ABABACAR LAYE BV1
DAKAR,YOFF,ECOLE ABABACAR LAYE,02,600,ECOLE ABABACAR LAYE BV2
DAKAR,YOFF,ECOLE ABABACAR LAYE,03,600,ECOLE ABABACAR LAYE BV3
DAKAR,YOFF,ECOLE ABABACAR LAYE,04,600,ECOLE ABABACAR LAYE BV4
DAKAR,YOFF,ECOLE ABABACAR LAYE,05,600,ECOLE ABABACAR LAYE BV5
DAKAR,YOFF,ECOLE ABABACAR LAYE,06,600,ECOLE ABABACAR LAYE BV6
DAKAR,YOFF,ECOLE ABABACAR LAYE,07,600,SALLE DE CLASSE
DAKAR,YOFF,ECOLE ABABACAR LAYE,08,600,SALLE DE CLASSE
DAKAR,YOFF,ECOLE ABABACAR LAYE,09,599,SALLE DE CLASSE
DAKAR,YOFF,ECOLE ABABACAR LAYE,10,600,SALLE DE CLASSE
DAKAR,YOFF,ECOLE ABABACAR LAYE,11,269,SALLE DE CLASSE
DAKAR,YOFF,ECOLE AEROPORT YOFF,01,589,CLASSE CPB
DAKAR,YOFF,ECOLE AEROPORT YOFF,02,581,CLASSE CE1B
DAKAR,YOFF,ECOLE AEROPORT YOFF,03,588,SANS CHANGEMENT
DAKAR,YOFF,ECOLE AEROPORT YOFF,04,584,CLASSE CM1B
DAKAR,YOFF,ECOLE AEROPORT YOFF,05,585,CLASSE CM1 A
DAKAR,YOFF,ECOLE AEROPORT YOFF,06,587,SALLE DE CLASSE
DAKAR,YOFF,ECOLE AEROPORT YOFF,07,584,SALLE DE CLASSE
DAKAR,YOFF,ECOLE AEROPORT YOFF,08,168,SALLE DE CLASSE
DAKAR,YOFF,ECOLE CITE DIAMALAYE,01,560,CLASSE CIA
DAKAR,YOFF,ECOLE CITE DIAMALAYE,02,569,CLASSE CPB
DAKAR,YOFF,ECOLE CITE DIAMALAYE,03,555,CLASSE CE1A
DAKAR,YOFF,ECOLE CITE DIAMALAYE,04,563,CLASSE CM2A
DAKAR,YOFF,ECOLE CITE DIAMALAYE,05,528,SALLE DE CLASSE
DAKAR,YOFF,ECOLE CITE DIAMALAYE,06,355,CLASSE CE2 B
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),01,561,CLASSE CIA
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),02,560,CLASSE CIB
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),03,565,CLASSE CPA
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),04,566,CLASSE CPB
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),05,559,CLASSE CE1 A
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),06,562,CLASSE CE1B
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),07,566,CLASSE CE2A
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),08,558,CLASSE CE2B
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),09,562,CLASSE CM1A
DAKAR,YOFF,ECOLE DIAMALAYE (YOFF 2),10,567,CLASSE CM1B
DAKAR,YOFF,ECOLE EH TALLA DIAGNE (YOFF 1),01,559,CI B ECOLE EH TALLA DIAGNE
DAKAR,YOFF,ECOLE EH TALLA DIAGNE (YOFF 1),02,559,CP A ECOLE EH TALLA DIAGNE
DAKAR,YOFF,Lieu de vote,Bureau,Electeurs,
DAKAR,YOFF,ECOLE EH TALLA DIAGNE (YOFF 1),03,565,CP B ECOLE EH TALLA DIAGNE
DAKAR,YOFF,ECOLE EH TALLA DIAGNE (YOFF 1),04,559,CE1 A ECOLE EH TALLA DIAGNE
DAKAR,YOFF,ECOLE EH TALLA DIAGNE (YOFF 1),05,560,CE1 B ECOLE EH TALLA DIAGNE
DAKAR,YOFF,ECOLE EH TALLA DIAGNE (YOFF 1),06,494,CE2 A ECOLE EH TALLA DIAGNE
DAKAR,YOFF,ECOLE ELIMANE THIAW,01,557,CLASSE CI A
DAKAR,YOFF,ECOLE ELIMANE THIAW,02,557,CLASSE CI B
DAKAR,YOFF,ECOLE ELIMANE THIAW,03,556,CLASSE CP A
DAKAR,YOFF,ECOLE ELIMANE THIAW,04,558,CLASSE CP B
DAKAR,YOFF,ECOLE ELIMANE THIAW,05,556,CLASSE CI A 2
DAKAR,YOFF,ECOLE ELIMANE THIAW,06,556,CLASSE CI B 2
DAKAR,YOFF,ECOLE ELIMANE THIAW,07,556,CLASSE CE2 A
DAKAR,YOFF,ECOLE ELIMANE THIAW,08,556,CLASSE CE2 B
DAKAR,YOFF,ECOLE ELIMANE THIAW,09,475,CLASSE CM2 A
DAKAR,YOFF,ECOLE JAPONAISE,01,600,CLASSE CE1
DAKAR,YOFF,ECOLE JAPONAISE,02,600,CLASSE CPA
DAKAR,YOFF,ECOLE JAPONAISE,03,600,CLASSE CI B
DAKAR,YOFF,ECOLE JAPONAISE,04,600,CLASSE CI A
DAKAR,YOFF,ECOLE JAPONAISE,05,600,CLASSE     CP B
DAKAR,YOFF,ECOLE JAPONAISE,06,600,CLASSE CM1 A
DAKAR,YOFF,ECOLE JAPONAISE,07,600,CLASSE CM1B REZ CHAUSSEE 2 BLO
DAKAR,YOFF,ECOLE JAPONAISE,08,600,CLASSE CM2B 1ER ETAGE AILE GAU
DAKAR,YOFF,ECOLE JAPONAISE,09,600,CLASSE CM2 A
DAKAR,YOFF,ECOLE JAPONAISE,10,600,CLASSE CE2 A
DAKAR,YOFF,ECOLE JAPONAISE,11,600,CLASSE CE2 B
DAKAR,YOFF,ECOLE JAPONAISE,12,600,CLASSE CM1
DAKAR,YOFF,ECOLE JAPONAISE,13,600,BIBLIOTHEQUE
DAKAR,YOFF,ECOLE JAPONAISE,14,600,SALLE DE CLASSE
DAKAR,YOFF,ECOLE JAPONAISE,15,600,SALLE DE CLASSE
DAKAR,YOFF,ECOLE JAPONAISE,16,600,SALLE DE CLASSE
DAKAR,YOFF,ECOLE JAPONAISE,17,135,SALLE DE CLASSE
DAKAR,YOFF,ECOLE KENJIRO,01,586,CLASSE CE2
DAKAR,YOFF,ECOLE KENJIRO,02,576,CLASSE CM1
DAKAR,YOFF,ECOLE KENJIRO,03,579,CLASSE CI
DAKAR,YOFF,ECOLE KENJIRO,04,582,CLASSE CP
DAKAR,YOFF,ECOLE KENJIRO,05,585,CLASSE CE1
DAKAR,YOFF,ECOLE KENJIRO,06,582,CLASSE CM 2
DAKAR,YOFF,ECOLE KENJIRO,07,579,CLASSE CI B
DAKAR,YOFF,ECOLE KENJIRO,08,580,CLASSE CE1 B
DAKAR,YOFF,Lieu de vote,Bureau,Electeurs,
DAKAR,YOFF,ECOLE KENJIRO,09,577,CLASSE CM2/2
DAKAR,YOFF,ECOLE KENJIRO,10,581,SALLE DE CLASSE
DAKAR,YOFF,ECOLE KENJIRO,11,578,SALLE DE CLASSE
DAKAR,YOFF,ECOLE KENJIRO,12,210,SALLE INFORMATIQUE
DAKAR,YOFF,ECOLE PRIVEE TATAFA,01,565,CLASSE CP2A
DAKAR,YOFF,ECOLE PRIVEE TATAFA,02,563,CLASSE CE1A
DAKAR,YOFF,ECOLE PRIVEE TATAFA,03,564,SALLE DE CLASSE
DAKAR,YOFF,ECOLE PRIVEE TATAFA,04,560,SALLE DE CLASSE
DAKAR,YOFF,ECOLE TAFSIR NDIAGA GUEYE,01,570,CLASSE CM1B
DAKAR,YOFF,ECOLE TAFSIR NDIAGA GUEYE,02,575,CLASSE CPB
DAKAR,YOFF,ECOLE TAFSIR NDIAGA GUEYE,03,570,SALLE DE CLASSE
DAKAR,YOFF,ECOLE TAFSIR NDIAGA GUEYE,04,573,SALLE DE CLASSE
DAKAR,YOFF,ECOLE TAFSIR NDIAGA GUEYE,05,300,SALLE DE CLASSE
DAKAR,YOFF,ECOLE YOFF 4,01,591,CLASSE CPB
DAKAR,YOFF,ECOLE YOFF 4,02,590,CIA
DAKAR,YOFF,ECOLE YOFF 4,03,590,CM 1 A
DAKAR,YOFF,ECOLE YOFF 4,04,590,CE 2 A
DAKAR,YOFF,ECOLE YOFF 4,05,591,SALLE DE CLASSE
DAKAR,YOFF,ECOLE YOFF 4,06,591,SALLE DE CLASSE
DAKAR,YOFF,ECOLE YOFF 4,07,591,SALLE DE CLASSE
DAKAR,YOFF,ECOLE YOFF 4,08,399,SALLE DE CLASSE
DAKAR,YOFF,ETAT CIVIL YOFF,01,438,HOTEL DE MAIRIE YOFF BV1
DAKAR,YOFF,ETAT CIVIL YOFF,02,434,HOTEL DE MAIRIE YOFF BV2
DAKAR,YOFF,ETAT CIVIL YOFF,03,434,HOTEL DE MAIRIE YOFF BV3
DAKAR,YOFF,ETAT CIVIL YOFF,04,431,HOTEL DE MAIRIE YOFF BV4
