DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GUEDIAWAYE,SAM,ECOLE 13 DAROU SALAM,01,211,CLASSE CE1B
GUEDIAWAYE,SAM,ECOLE 13 DAROU SALAM,02,213,CLASSE CE2A
GUEDIAWAYE,SAM,ECOLE 13 DAROU SALAM,03,212,CLASSE CE1A
GUEDIAWAYE,SAM,ECOLE 16,01,587,CLASSE CM1B
GUEDIAWAYE,SAM,ECOLE 16,02,592,CLASSE CM1A
GUEDIAWAYE,SAM,ECOLE 16,03,582,SALLE DE REUNION
GUEDIAWAYE,SAM,ECOLE 16,04,585,CLASSE CE2A
GUEDIAWAYE,SAM,ECOLE 16,05,578,CLASSE CE1A
GUEDIAWAYE,SAM,ECOLE 16,06,586,CLASSE CE2B
GUEDIAWAYE,SAM,ECOLE 16,07,588,CLASSE CIB
GUEDIAWAYE,SAM,ECOLE 16,08,574,CLASSE CM2B
GUEDIAWAYE,SAM,ECOLE 16,09,577,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE 16,10,565,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE 16,11,574,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE 16,12,564,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE 16,13,565,ABRI PROVISOIRE
GUEDIAWAYE,SAM,ECOLE 17/A GUEDIAWAYE,01,596,CLASSE CM1B
GUEDIAWAYE,SAM,ECOLE 17/A GUEDIAWAYE,02,598,CLASSE CE2A
GUEDIAWAYE,SAM,ECOLE 17/A GUEDIAWAYE,03,594,CLASSE CE1A
GUEDIAWAYE,SAM,ECOLE 17/A GUEDIAWAYE,04,597,CLASSE CPA
GUEDIAWAYE,SAM,ECOLE 17/A GUEDIAWAYE,05,596,CLASSE CIA
GUEDIAWAYE,SAM,ECOLE 17/A GUEDIAWAYE,06,594,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE 17/A GUEDIAWAYE,07,599,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE 17/B GUEDIAWAYE,01,552,CLASSE CPB
GUEDIAWAYE,SAM,ECOLE 17/B GUEDIAWAYE,02,553,CLASSE CIB
GUEDIAWAYE,SAM,ECOLE 17/B GUEDIAWAYE,03,550,CLASSE CIA
GUEDIAWAYE,SAM,ECOLE 17/B GUEDIAWAYE,04,550,CLASSE CE1B
GUEDIAWAYE,SAM,ECOLE 17/B GUEDIAWAYE,05,474,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE 20,01,585,CLASSE CE1B ECOLE A
GUEDIAWAYE,SAM,ECOLE 20,02,585,CLASSE CE2A ECOLE A
GUEDIAWAYE,SAM,ECOLE 20,03,585,CLASSE CM1A ECOLE A
GUEDIAWAYE,SAM,ECOLE 20,04,585,CLASSE CM2A ECOLE A
GUEDIAWAYE,SAM,ECOLE 20,05,585,SALLE NICOLAS SARR ECOLE B
GUEDIAWAYE,SAM,ECOLE 20,06,585,SALLE ELHADJI ELVALID ECOLE B
GUEDIAWAYE,SAM,ECOLE 20,07,585,SALLE BABACAR NDAO ECOLE B
GUEDIAWAYE,SAM,ECOLE 20,08,585,SALLE ADAMA DIOP ECOLE B
GUEDIAWAYE,SAM,ECOLE 20,09,586,SALLE DE CLASSE
GUEDIAWAYE,SAM,Lieu de vote,Bureau,Electeurs,
GUEDIAWAYE,SAM,ECOLE 20,10,586,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE 20,11,585,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE 20,12,326,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE DORO SY,01,576,CLASSE CPA
GUEDIAWAYE,SAM,ECOLE DORO SY,02,575,CLASSE CPC
GUEDIAWAYE,SAM,ECOLE DORO SY,03,575,CLASSE CE1A
GUEDIAWAYE,SAM,ECOLE DORO SY,04,576,CLASSE CE2A
GUEDIAWAYE,SAM,ECOLE DORO SY,05,576,CLASSE CE2C
GUEDIAWAYE,SAM,ECOLE DORO SY,06,576,CLASSE CM1B
GUEDIAWAYE,SAM,ECOLE DORO SY,07,575,CLASSE CIA
GUEDIAWAYE,SAM,ECOLE DORO SY,08,565,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE DORO SY,09,568,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE DORO SY,10,389,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE ELEMENTAIRE FUENLABRADA,01,583,ABRI PROVISOIRE
GUEDIAWAYE,SAM,ECOLE ELEMENTAIRE FUENLABRADA,02,591,SALLE MANTOULAYE GUENE B
GUEDIAWAYE,SAM,ECOLE ELEMENTAIRE FUENLABRADA,03,574,ABRI PROVISOIRE
GUEDIAWAYE,SAM,ECOLE ELEMENTAIRE FUENLABRADA,04,578,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE ELEMENTAIRE FUENLABRADA,05,579,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE ELEMENTAIRE FUENLABRADA,06,578,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE ELEMENTAIRE FUENLABRADA,07,577,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE ELEMENTAIRE FUENLABRADA,08,582,SALLE DE CLASSE
GUEDIAWAYE,SAM,ECOLE ELEMENTAIRE FUENLABRADA,09,578,SALLE DE CLASSE
