DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEUR MASSAR,YEUMBEUL SUD,ANNEXE ECOLE KHALIFA ABABACAR SY,01,580,SALLE 1
KEUR MASSAR,YEUMBEUL SUD,ANNEXE ECOLE KHALIFA ABABACAR SY,02,580,SALLE 2
KEUR MASSAR,YEUMBEUL SUD,ANNEXE ECOLE KHALIFA ABABACAR SY,03,581,SALLE 3
KEUR MASSAR,YEUMBEUL SUD,ANNEXE ECOLE KHALIFA ABABACAR SY,04,581,SALLE 4
KEUR MASSAR,YEUMBEUL SUD,ANNEXE ECOLE KHALIFA ABABACAR SY,05,578,SALLE 5
KEUR MASSAR,YEUMBEUL SUD,ANNEXE ECOLE KHALIFA ABABACAR SY,06,581,SALLE 6
KEUR MASSAR,YEUMBEUL SUD,ANNEXE ECOLE KHALIFA ABABACAR SY,07,582,SALLE 7
KEUR MASSAR,YEUMBEUL SUD,ANNEXE ECOLE KHALIFA ABABACAR SY,08,580,SALLE 8
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,01,569,CLASSE CI A
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,02,572,CLASSE CI B
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,03,567,CLASSE CP A
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,04,565,CLASSE CP B
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,05,570,CLASSE CE2 A
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,06,562,CLASSE CE2 B
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,07,560,CLASSE CM1 A
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,08,569,CLASSE CM1 B
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,09,568,CLASSE CM1 C
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,10,564,CLASSE CE1 A
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,11,564,CLASSE CE1 B
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,12,569,CLASSE CM2
KEUR MASSAR,YEUMBEUL SUD,CENTRE D ETAT CIVIL YEUMBEUL,13,522,CLASSE CM2 B
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,01,588,CLASSE CM1 B
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,02,589,CLASSE CM1 A
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,03,587,CLASSE CE1 B
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,04,589,CLASSE CE1 A
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,05,591,CLASSE CM2 B
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,06,589,CLASSE CM2 A
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,07,589,CLASSE CE2 A
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,08,590,CLASSE CI A
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,09,588,CLASSE CE2 B
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,10,589,CLASSE CP A
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,11,589,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,12,585,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,13,588,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,14,588,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,15,587,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,16,589,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,17,590,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL SUD,Lieu de vote,Bureau,Electeurs,
KEUR MASSAR,YEUMBEUL SUD,ECOLE MADY NDIAYE,18,591,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOMAR KHARY DIOP,01,563,SALLE 01
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOMAR KHARY DIOP,02,563,SALLE 03
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOMAR KHARY DIOP,03,563,SALLE 05
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOMAR KHARY DIOP,04,562,SALLE 06
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOMAR KHARY DIOP,05,562,SALLE 07
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOMAR KHARY DIOP,06,563,SALLE 08
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOMAR KHARY DIOP,07,359,SALLE 09
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,01,587,SALLE  16
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,02,587,SALLE  15
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,03,586,SALLE  14
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,04,588,SALLE 13
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,05,588,SALLE 12
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,06,590,SALLE 10
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,07,590,SALLE 9
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,08,589,SALLE 8
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,09,590,SALLE 7
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,10,589,SALLE 6
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,11,590,SALLE 5
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,12,590,SALLE 4
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,13,588,SALLE 3
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,14,590,SALLE 1
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,15,588,SALLE 2
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,16,587,SALLE 17
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,17,590,SALLE 18
KEUR MASSAR,YEUMBEUL SUD,ECOLE MOUSSE ANTA DIOP,18,590,SALLE 11
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,01,594,CEM IMAM S GAYE SALLE 16
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,02,590,CEM IMAM S GAYE SALLE 1
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,03,597,CEM IMAM S GAYE SALLE 2
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,04,593,CEM IMAM S GAYE SALLE 3
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,05,593,CEM IMAM S GAYE SALLE 4
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,06,596,CEM IMAM S GAYE SALLE 5
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,07,588,CEM IMAM S GAYE SALLE 6
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,08,592,CEM IMAM S GAYE SALLE 7
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,09,600,CEM IMAM S GAYE SALLE 8
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,10,600,CEM IMAM S GAYE SALLE 9
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,11,593,CEM IMAM S GAYE SALLE 10
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,12,593,CEM IMAM S GAYE SALLE 11
KEUR MASSAR,YEUMBEUL SUD,Lieu de vote,Bureau,Electeurs,
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,13,595,CEM IMAM S GAYE SALLE 12
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,14,592,CEM IMAM S GAYE SALLE 13
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,15,594,CEM IMAM S GAYE SALLE 14
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,16,583,CEM IMAM S GAYE SALLE 15
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,17,593,CEM IMAM S GAYE SALLE
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,18,577,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,19,573,ABRI PROVISOIRE
KEUR MASSAR,YEUMBEUL SUD,ECOLE PRIVEE MAMADOU NDIONE,20,374,ABRI PROVISOIRE
