DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PIKINE,GUINAW RAIL NORD,CRED / DARADJI,01,590,SALLE 1
PIKINE,GUINAW RAIL NORD,CRED / DARADJI,02,589,SALLE 2
PIKINE,GUINAW RAIL NORD,CRED / DARADJI,03,590,SALLE 3
PIKINE,GUINAW RAIL NORD,CRED / DARADJI,04,589,SALLE 4
PIKINE,GUINAW RAIL NORD,CRED / DARADJI,05,590,SALLE DE CLASSE
PIKINE,GUINAW RAIL NORD,CRED / DARADJI,06,590,SALLE DE CLASSE
PIKINE,GUINAW RAIL NORD,CRED / DARADJI,07,589,SALLE DE CLASSE
PIKINE,GUINAW RAIL NORD,CRED / DARADJI,08,262,SALLE DE CLASSE
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,01,595,SALLE 1
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,02,592,SALLE 2
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,03,595,SALLE 3
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,04,594,SALLE 4
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,05,596,SALLE 5
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,06,593,SALLE 6
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,07,595,ECOLE FATIMAT
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,08,593,ECOLE FATIMAT
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,09,594,ECOLE FATIMAT
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,10,595,ECOLE FATIMAT
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,11,593,ECOLE FATIMAT
PIKINE,GUINAW RAIL NORD,ECOLE PRIVEE SEMBENE OUSMANE,12,591,ECOLE FATIMAT
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,01,600,CLASSE CI A
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,02,600,CLASSE CI B
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,03,600,CLASSE CE 2
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,04,599,CLASSE CM1
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,05,600,CLASSE CM2
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,06,600,CLASSE CE1
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,07,600,SALLE DE CLASSE
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,08,600,SALLE DE CLASSE
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,09,599,SALLE DE CLASSE
PIKINE,GUINAW RAIL NORD,ECOLE THIAROYE GUINAW RAILS,10,164,SALLE DE CLASSE
