DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RUFISQUE,BAMBYLOR,CENTRE POLYVALENT MBEYE,01,505,CENTRE POLYVALENT MBEYE
RUFISQUE,BAMBYLOR,ECOLE 2 MEDINA BAMBYLOR,01,600,SALLE 11
RUFISQUE,BAMBYLOR,ECOLE 2 MEDINA BAMBYLOR,02,599,SALLE 10
RUFISQUE,BAMBYLOR,ECOLE 2 MEDINA BAMBYLOR,03,600,SALLE 8
RUFISQUE,BAMBYLOR,ECOLE 2 MEDINA BAMBYLOR,04,600,SALLE 5
RUFISQUE,BAMBYLOR,ECOLE 2 MEDINA BAMBYLOR,05,306,SALLE 4
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,01,597,CLASSE CE1 B
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,02,595,CLASSE CE2 A
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,03,599,CLASSE CE2 B
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,04,599,CLASSE CM1 A
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,05,596,CLASSE CM1 B
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,06,594,CLASSE CM2 A
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,07,600,CLASSE CM2 B
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,08,597,CLASSE CI A
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,09,595,CLASSE CP B
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,10,585,CLASSE CP A
RUFISQUE,BAMBYLOR,ECOLE BAMBYLOR,11,334,SALLE DE CLASSE
RUFISQUE,BAMBYLOR,ECOLE DENI BIRAM NDAO NORD,01,544,CLASSE CI B
RUFISQUE,BAMBYLOR,ECOLE DENI BIRAM NDAO NORD,02,537,CLASSE CE2 A
RUFISQUE,BAMBYLOR,ECOLE DENI BIRAM NDAO NORD,03,530,CLASSE CE2 B
RUFISQUE,BAMBYLOR,ECOLE DENI BIRAM NDAO NORD,04,366,CLASSE CE1 A
RUFISQUE,BAMBYLOR,ECOLE DENIS GUEDJI,01,336,CLASSE CM2
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE DE DIAKSAO,01,288,CLASSE CM1
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE DE MBEUTH,01,515,CLASSE CM1
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE DE MBEUTH,02,299,SALLE DE CLASSE
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE GOROM 1,01,579,SALLE 2
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE GOROM 1,02,572,SALLE 7
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE GOROM 1,03,575,SALLE 3
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE GOROM 1,04,306,SALLE
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE GOROM 2,01,576,CLASSE CI A
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE GOROM 2,02,557,CLASSE CP B
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE GOROM 2,03,564,CLASSE CM1 A
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE GOROM 2,04,476,CLASSE CM1 B
RUFISQUE,BAMBYLOR,Lieu de vote,Bureau,Electeurs,
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE GOROM 2,05,224,SALLE DE CLASSE
RUFISQUE,BAMBYLOR,ECOLE ELEMENTAIRE WAYAMBAME,01,484,CLASSE CE2
RUFISQUE,BAMBYLOR,ECOLE NDIAKHIRATE PEULH,01,461,CLASSE CE2
RUFISQUE,BAMBYLOR,ECOLE PRIMAIRE DENI BIRAM NDAO SUD,01,575,CLASSE CM2
RUFISQUE,BAMBYLOR,ECOLE PRIMAIRE DENI BIRAM NDAO SUD,02,573,CLASSE CM1
RUFISQUE,BAMBYLOR,ECOLE PUBLIQUE DE KANIACK NDIAWDOUNE,01,392,CLASSE CM1
