DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RUFISQUE,SANGALKAM,CEM KEUR MBABA GUISSE,01,555,SALLE 8
RUFISQUE,SANGALKAM,CEM KEUR MBABA GUISSE,02,553,SALLE 9
RUFISQUE,SANGALKAM,CEM KEUR MBABA GUISSE,03,555,SALLE 10
RUFISQUE,SANGALKAM,CEM KEUR MBABA GUISSE,04,552,SALLE 11
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE KOUNOUNE,01,601,CLASSE CP B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE KOUNOUNE,02,600,CLASSE CE1 B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE KOUNOUNE,03,600,CLASSE CE2 B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE KOUNOUNE,04,600,CLASSE CM2 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE KOUNOUNE,05,600,CLASSE CM2 B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE KOUNOUNE,06,600,CLASSE CE2 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE KOUNOUNE,07,600,CLASSE CE1 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE KOUNOUNE,08,405,CLASSE CM1 B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE KOUNOUNE,09,348,SALLE DE CLASSE
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE MEDINA THIOUB,01,590,CLASSE CI A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE MEDINA THIOUB,02,592,CLASSE CI B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE MEDINA THIOUB,03,593,CLASSE CP A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE MEDINA THIOUB,04,591,CLASSE CP B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE DE MEDINA THIOUB,05,591,CLASSE CP C
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,01,600,SALLE 1
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,02,599,SALLE 2
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,03,600,SALLE 3
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,04,600,SALLE 16
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,05,601,SALLE 17
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,06,600,SALLE 13
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,07,600,SALLE 12
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,08,600,SALLE 8
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,09,600,SALLE 15
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE KEUR NDIAYE LO 1,10,118,SALLE DE CLASSE
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE NDIAKHATE DIGUE,01,581,CLASSE CI A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE NDIAKHATE DIGUE,02,581,CLASSE CE1 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE NDIAKHATE DIGUE,03,582,CLASSE CM2 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE NDIAKHATE DIGUE,04,581,CLASSE CM1 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE NDIAKHATE DIGUE,05,221,SALLE DE CLASSE
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE  NDIAKHIRATE NDIOBENE,01,555,CLASSE CE2 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE  NDIAKHIRATE NDIOBENE,02,555,CLASSE CE2 B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE  NDIAKHIRATE NDIOBENE,03,405,CLASSE CM1
RUFISQUE,SANGALKAM,Lieu de vote,Bureau,Electeurs,
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,01,600,CLASSE CE2 B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,02,600,CLASSE CE2 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,03,600,CLASSE CM1 B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,04,600,CLASSE CM1 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,05,600,CLASSE CM2 B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,06,600,CLASSE CM2 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,07,600,CLASSE CE1 B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,08,585,CLASSE CE1 A
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,09,595,CLASSE CP B
RUFISQUE,SANGALKAM,ECOLE ELEMENTAIRE SANGALCAM,10,238,SALLE DE CLASSE
RUFISQUE,SANGALKAM,ECOLE KEUR DAOUDA SARR,01,497,SALLE 4
RUFISQUE,SANGALKAM,ECOLE KEUR DAOUDA SARR,02,500,SALLE 5
