DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RUFISQUE,TIVAOUANE PEULH - NIAGA,DENI GUEDJ NORD,01,248,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE BENOBA,01,406,SALLE 6
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE BENOBA,02,405,SALLE 5
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE BENOBA,03,329,SALLE 7
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE CITE SAFCO,01,534,CLASSE CM1
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE CITE SAFCO,02,375,CLASSE CI
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE DAROU SALAM,01,468,CLASSE CM2
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE NIAGA 2,01,541,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE NIAGA 2,02,559,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE NIAGA 2,03,183,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TAWFEKH SOCABEG,01,570,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TAWFEKH SOCABEG,02,595,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TAWFEKH SOCABEG,03,451,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,01,583,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,02,582,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,03,583,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,04,582,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,05,581,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,06,584,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,07,583,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,08,585,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,09,581,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,10,582,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,11,581,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,12,582,SALLE DE CLASSE
RUFISQUE,TIVAOUANE PEULH - NIAGA,ECOLE ELEMENTAIRE TIVAOUANE PEULH,13,580,SALLE DE CLASSE
