DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAMBEY,DANGALMA,BABACK DIOMEGOR,01,571,CLASSE CI
BAMBEY,DANGALMA,BABACK DIOMEGOR,02,154,CLASSE CM2
BAMBEY,DANGALMA,BAMBEY SERERE,01,531,ABRI PROVISOIRE
BAMBEY,DANGALMA,BAMBEY SERERE,02,531,ABRI PROVISOIRE
BAMBEY,DANGALMA,DADACK,01,555,CLASSE CE2
BAMBEY,DANGALMA,DANGALMA,01,574,CLASSE CE2
BAMBEY,DANGALMA,DANGALMA,02,575,CLASSE CM1
BAMBEY,DANGALMA,DANGALMA,03,575,CLASSE CM2
BAMBEY,DANGALMA,DANGALMA,04,574,CLASSE CE1
BAMBEY,DANGALMA,DANGALMA 2,01,546,CLASSE CM1
BAMBEY,DANGALMA,DANGALMA 2,02,223,CLASSE CP
BAMBEY,DANGALMA,ECOLE SINDIANE (EX SEO SINDIANE),01,569,CLASSE CE2
BAMBEY,DANGALMA,GATT DIOCOUL 1,01,555,CLASSE CE1
BAMBEY,DANGALMA,GATT DIOCOUL 1,02,555,CLASSE CP
BAMBEY,DANGALMA,GATT GALLO,01,583,ABRI PROVISOIRE
BAMBEY,DANGALMA,GATT GALLO,02,586,ABRI PROVISOIRE
BAMBEY,DANGALMA,GATT GALLO,03,131,ABRI PROVISOIRE
BAMBEY,DANGALMA,GATT NGARAFF 1,01,528,CLASSE CM1
BAMBEY,DANGALMA,GATT NGARAFF 1,02,527,CLASSE CE2
BAMBEY,DANGALMA,GATT NGARAFF 1,03,528,ECOLE CLASSE CP
BAMBEY,DANGALMA,KEUR GALLO,01,281,ABRI PROVISOIRE
BAMBEY,DANGALMA,LYCEE DE DANGALMA,01,367,SALLE 6
BAMBEY,DANGALMA,LYCEE DE DANGALMA,02,368,SALLE 7
BAMBEY,DANGALMA,MERINA,01,588,ABRI PROVISOIRE
BAMBEY,DANGALMA,MERINA,02,53,ABRI PROVISOIRE
BAMBEY,DANGALMA,NDIADIANE,01,588,ABRI PROVISOIRE
BAMBEY,DANGALMA,NDIADIANE,02,75,ABRI PROVISOIRE
BAMBEY,DANGALMA,NDIOBENE NGOYE,01,245,ABRI PROVISOIRE
BAMBEY,DANGALMA,NGOKHOTHIE,01,470,ABRI PROVISOIRE
BAMBEY,DANGALMA,Lieu de vote,Bureau,Electeurs,
BAMBEY,DANGALMA,NGOKHOTHIE EX LAMBAYE,01,256,CLASSE CI
BAMBEY,DANGALMA,NGUEME YADIAMA,01,286,ABRI PROVISOIRE
BAMBEY,DANGALMA,NGUITHIE PEYE,01,464,CLASSE CE2
BAMBEY,DANGALMA,SANGHAYE,01,380,ABRI PROVISOIRE
BAMBEY,DANGALMA,SAO,01,180,ABRI PROVISOIRE
BAMBEY,DANGALMA,TALLAGNE,01,561,CASE DE SANTE
