DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAMBEY,GAWANE,DAROU KHOUDOSS,01,370,ABRI PROVISOIRE
BAMBEY,GAWANE,GAPP,01,215,ECOLE GAPP SALLE 1
BAMBEY,GAWANE,GAWANE ESCALE,01,371,ECOLE GAWANE SALLE 1
BAMBEY,GAWANE,GAWANE ESCALE,02,371,ECOLE GAWANE SALLE 2
BAMBEY,GAWANE,GAWANE MBACKE,01,467,ECOLE GAWANE SALLE 3
BAMBEY,GAWANE,GAWANE MBACKE,02,465,ECOLE GAWANE SALLE 4
BAMBEY,GAWANE,KEUR DIEUMB DIA,01,230,ABRI PROVISOIRE
BAMBEY,GAWANE,LANGAR DEUNE,01,454,ECOLE LANGAR DEUNE SALLE 1
BAMBEY,GAWANE,LANGAR PEYE,01,338,ECOLE LANGAR PEYE SALLE 1
BAMBEY,GAWANE,NDIEYENE THIALAO,01,356,ECOLE NDIEYENE THIALAO SALLE 1
BAMBEY,GAWANE,NDIEYENE THIALAO,02,355,SALLE 2
BAMBEY,GAWANE,NGARASSE ECOLE ELEMENTAIRE,01,209,EFA DE NGARASSE SALLE 1
BAMBEY,GAWANE,NGOKARE SOW 1,01,238,ECOLE ELEM NGOKARE SOW SALLE 1
BAMBEY,GAWANE,PEYE BOUNGHOYE,01,212,ECOLE ELEM PEYE BOUNGOYE SALLE 1
BAMBEY,GAWANE,SARR,01,555,ECOLE ELEMENTAIRE SARR SALLE 1
BAMBEY,GAWANE,SARR,02,53,ECOLE ELEMENTAIRE SARR SALLE 2
