DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAMBEY,NDONDOL,BACAPOME,01,237,ABRI PROVISOIRE
BAMBEY,NDONDOL,MBELKHAOUL,01,420,CENTRE D'ALPHABETISATION
BAMBEY,NDONDOL,MBOMBOYE 1,01,502,CLASSE CE1
BAMBEY,NDONDOL,MBOMBOYE 1,02,502,CLASSE CP
BAMBEY,NDONDOL,NDECK,01,537,CLASSE CE1
BAMBEY,NDONDOL,NDIEDIENG 1,01,423,CLASSE CP
BAMBEY,NDONDOL,NDIEDIENG 1,02,423,ECOLE PUBLIQUE
BAMBEY,NDONDOL,NDIEMANE,01,478,CLASSE CE2
BAMBEY,NDONDOL,NDIEMANE,02,477,CLASSE CP
BAMBEY,NDONDOL,NDONDOL,01,488,CLASSE CM2
BAMBEY,NDONDOL,NDONDOL,02,488,CLASSE CE1
BAMBEY,NDONDOL,NDONDOL,03,489,CLASSE CP
BAMBEY,NDONDOL,NDONDOL,04,488,CLASSE CM2 A
BAMBEY,NDONDOL,NDONDOL,05,489,CLASSE CM1
BAMBEY,NDONDOL,NGOUYE,01,552,CLASSE CP
BAMBEY,NDONDOL,NGUEME ISSA,01,396,CLASSE CE1
BAMBEY,NDONDOL,NGUEME ISSA,02,397,CLASSE CP
BAMBEY,NDONDOL,WAKHALDIAM,01,242,CLASSE CP
BAMBEY,NDONDOL,YAYE,01,591,CLASSE CM1
