DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAMBEY,NGOGOM,ECOLE 1 BAMBEY SERERE,01,589,SALLE 1
BAMBEY,NGOGOM,ECOLE 1 BAMBEY SERERE,02,588,SALLE 2
BAMBEY,NGOGOM,ECOLE 1 BAMBEY SERERE,03,587,SALLE 3
BAMBEY,NGOGOM,ECOLE 1 BAMBEY SERERE,04,60,SALLE 04
BAMBEY,NGOGOM,ECOLE 2 BAMBEY SERERE,01,535,SALLE 1
BAMBEY,NGOGOM,ECOLE 2 BAMBEY SERERE,02,536,SALLE 2
BAMBEY,NGOGOM,ECOLE 2 BAMBEY SERERE,03,534,SALLE 3
BAMBEY,NGOGOM,ECOLE 2 BAMBEY SERERE,04,537,SALLE DE CLASSE
BAMBEY,NGOGOM,ECOLE 2 BAMBEY SERERE,05,537,SALLE DE CLASSE
BAMBEY,NGOGOM,KEUR ALIOU DIOUF,01,432,ECOLE ALIOU DIOUF SALLE 1
BAMBEY,NGOGOM,KEUR SAPOLECK,01,359,ECOLE KEUR SAPOLECK SALLE 1
BAMBEY,NGOGOM,MBARRY ALLE NDIAYE,01,584,E.F.A MBARY ALE NDIAYE SALLE 1
BAMBEY,NGOGOM,MBARRY ALLE NDIAYE,02,84,E.F.A MBARY ALE NDIAYE SALLE 2
BAMBEY,NGOGOM,MBOUKHOUM,01,236,E.F.A GOL SALLE 1
BAMBEY,NGOGOM,NDEME MEISSA THIORO,01,448,ECOLE NDEME MEISSA THIORO SAL1
BAMBEY,NGOGOM,NDIAKALACK,01,468,ECOLE NDIAKALACK SALLE 1
BAMBEY,NGOGOM,NDIOUDIOUF,01,548,ECOLE NDIOUDIOUF SALLE 1
BAMBEY,NGOGOM,NGARAFFE POLECK,01,470,ECOLE ARABE NGARAFFE POLECK SALLE1
BAMBEY,NGOGOM,NGOGOM,01,498,ECOLE NGOGOM SALLE 1
BAMBEY,NGOGOM,NGOGOM,02,503,ECOLE NGOGOM SALLE 2
BAMBEY,NGOGOM,NGOGOM,03,369,ECOLE NGOGOM SALLE 3
BAMBEY,NGOGOM,NGOTHIE 1,01,473,ECOLE ELEMENTAIRE NGOTHIE 1 SALLE 1
BAMBEY,NGOGOM,NGUITHIE THIANDIGUE,01,468,ECOLE NGUITHIE THIANDIGUE SALLE 1
BAMBEY,NGOGOM,NIOKETTE,01,175,ECOLE ELEMENTAIRE NIOKETTE SALLE 1
BAMBEY,NGOGOM,PALENE,01,476,ECOLE PALENE SALLE 1
BAMBEY,NGOGOM,SEO NGARAFF,01,410,ECOLE SEO NGARAFF SALLE 1
BAMBEY,NGOGOM,SILANE,01,577,ECOLE SILANE SALLE 1
BAMBEY,NGOGOM,SILANE,02,26,ECOLE ELEMENTAIRE DE SILANE SALLE 2
BAMBEY,NGOGOM,Lieu de vote,Bureau,Electeurs,
BAMBEY,NGOGOM,THILMAKHA,01,348,ABRI PROVISOIRE
