DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAMBEY,NGOYE,BAKAKACK,01,267,CLASSE CP
BAMBEY,NGOYE,BARRY NDONDOL,01,509,CLASSE CM1
BAMBEY,NGOYE,BARRY NDONDOL,02,510,CLASSE CE1
BAMBEY,NGOYE,BATAL,01,530,CLASSE CE 2
BAMBEY,NGOYE,BATAL,02,530,CLASSE CP
BAMBEY,NGOYE,BATAL,03,530,ECOLE CLASSE CM2
BAMBEY,NGOYE,GALLO NGOYE,01,541,CLASSE CM1
BAMBEY,NGOYE,GALLO NGOYE,02,60,CLASSE CM2
BAMBEY,NGOYE,GOURGOURENE,01,582,CLASSE CE1
BAMBEY,NGOYE,GOURGOURENE,02,79,CLASSE CM2
BAMBEY,NGOYE,KEUR LAT BISSINE,01,422,ABRI PROVISOIRE
BAMBEY,NGOYE,KEUR MEISSA NDIAYE,01,451,CLASSE CE2
BAMBEY,NGOYE,KHANDIAR,01,579,ABRI PROVISOIRE
BAMBEY,NGOYE,MBOKHODANE,01,584,CLASSE CE2
BAMBEY,NGOYE,MBOKHODANE,02,98,CLASSE CM2
BAMBEY,NGOYE,NDIATTA NGOYE,01,325,ABRI PROVISOIRE
BAMBEY,NGOYE,NDIMB NGOYE,01,506,ABRI PROVISOIRE
BAMBEY,NGOYE,NDIMB NGOYE,02,505,ABRI PROVISOIRE
BAMBEY,NGOYE,NDIONE KADE 1,01,303,ABRI PROVISOIRE
BAMBEY,NGOYE,NDIONE MATENING,01,501,CLASSE CE1
BAMBEY,NGOYE,NDIOULY 1,01,561,CLASSE CM2
BAMBEY,NGOYE,NDIOULY 1,02,560,CLASSE CM1
BAMBEY,NGOYE,NDIOULY 1,03,560,CLASSE CE1
BAMBEY,NGOYE,NDIOULY 1,04,381,CLASSE CE2
BAMBEY,NGOYE,NGANDECK,01,224,ABRI PROVISOIRE
BAMBEY,NGOYE,NGASCOPE,01,584,CLASSE CM1
BAMBEY,NGOYE,NGASCOPE,02,108,CLASSE CM2 B
BAMBEY,NGOYE,NGODJLEME,01,455,ECOLE MISSION CATHOLIQUE
BAMBEY,NGOYE,Lieu de vote,Bureau,Electeurs,
BAMBEY,NGOYE,NGUEYE NGUEYE,01,568,ABRI  PROVISOIRE
BAMBEY,NGOYE,NGUEYE NGUEYE,02,566,ABRI PROVISOIRE
BAMBEY,NGOYE,PEYE NGOYE 1,01,521,CLASSE CE1
BAMBEY,NGOYE,PEYE NGOYE 1,02,524,CLASSE CE2
BAMBEY,NGOYE,PEYE NGOYE 1,03,525,ECOLE CLASSE CM1
BAMBEY,NGOYE,SESSENE,01,497,CLASSE CM1
BAMBEY,NGOYE,SESSENE,02,495,CLASSE CE1
BAMBEY,NGOYE,THIODJOGOYE,01,297,CLASSE CE2
