DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DIOURBEL,KEUR NGALGOU,ECOLE DE TAWA,01,256,MAGASIN COOPERATIVE
DIOURBEL,KEUR NGALGOU,ECOLE KEUR ALLA NIANG,01,146,SALLE DE CLASSE
DIOURBEL,KEUR NGALGOU,ECOLE TEIGNE TEIGNE,01,245,SALLE DE CLASSE
DIOURBEL,KEUR NGALGOU,GADE KHAPSOU,01,216,CASE DE SANTE
DIOURBEL,KEUR NGALGOU,KEUR NGALGOU,01,568,CLASSE CE1
DIOURBEL,KEUR NGALGOU,KEUR NGALGOU,02,58,SALLE DE CLASSE
DIOURBEL,KEUR NGALGOU,NGANKAL OUOLOF,01,313,CLASSE CP
DIOURBEL,KEUR NGALGOU,NGHAWAW,01,476,CLASSE CI
DIOURBEL,KEUR NGALGOU,PALLENE,01,426,CLASSE CE1
DIOURBEL,KEUR NGALGOU,PEO FALL,01,185,MAGASIN CEREALIER
