DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DIOURBEL,NDINDY,COKY GOUYE,01,411,CLASSE CM1
DIOURBEL,NDINDY,COKY GOUYE,02,410,CLASSE CE2
DIOURBEL,NDINDY,DAGA,01,206,CLASSE CI
DIOURBEL,NDINDY,DAROU DIA,01,335,MAGASIN CEREALIER
DIOURBEL,NDINDY,DIONGO,01,538,CLASSE CM2
DIOURBEL,NDINDY,ECOLE TAIBA SANTHIE 1,01,93,SALLE DE CLASSE
DIOURBEL,NDINDY,LAYABE,01,109,ABRI PROVISOIRE
DIOURBEL,NDINDY,LOUMENE,01,241,CLASSE CE1
DIOURBEL,NDINDY,MERINA SYLL,01,356,CLASSE CM1
DIOURBEL,NDINDY,NDIATACK,01,490,CLASSE CP
DIOURBEL,NDINDY,NDIMBE,01,406,CLASSE CI
DIOURBEL,NDINDY,NDINDY,01,519,CLASSE CM2
DIOURBEL,NDINDY,NDINDY,02,522,CLASSE CE1
DIOURBEL,NDINDY,NDINDY,03,521,CLASSE CM1
DIOURBEL,NDINDY,NDINDY,04,520,CLASSE CP
DIOURBEL,NDINDY,NGHAYE,01,92,CLASSE CI
DIOURBEL,NDINDY,TAIBA NDIAGNE 1,01,121,ABRI PROVISOIRE
DIOURBEL,NDINDY,TALLAKH,01,252,ABRI PROVISOIRE
