DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DIOURBEL,NGOHE,CITE OUVRIERE SEIB,01,394,CLASSE CIA
DIOURBEL,NGOHE,CITE OUVRIERE SEIB,02,393,CLASSE CM2A
DIOURBEL,NGOHE,DIOMKHEL,01,595,CLASSE CE2
DIOURBEL,NGOHE,DIOMKHEL,02,26,ECOLE ELEMENTAIRE
DIOURBEL,NGOHE,DOMB,01,474,CLASSE CM2
DIOURBEL,NGOHE,ECOLE BOUNDOU,01,371,SALLE 1
DIOURBEL,NGOHE,FINTEL DJIGATE,01,321,SALLE 1
DIOURBEL,NGOHE,FINTEL SOMB,01,350,CLASSE CM 2
DIOURBEL,NGOHE,FINTEL SOMB,02,348,CLASSE CE2
DIOURBEL,NGOHE,KADAM,01,589,CLASSE CM1
DIOURBEL,NGOHE,KEUR GANE,01,390,CLASSE CM2
DIOURBEL,NGOHE,KEUR GANE,02,390,CLASSE CM1
DIOURBEL,NGOHE,LAGNAR GOUMACK,01,333,CLASSE CM2
DIOURBEL,NGOHE,LAGNAR GOUMACK,02,332,CLASSE CE2
DIOURBEL,NGOHE,NDIABAYE,01,323,CLASSE CI
DIOURBEL,NGOHE,NDIANDE,01,411,CLASSE CP
DIOURBEL,NGOHE,NDIETTE NGOHE,01,551,CLASSE CM2 A
DIOURBEL,NGOHE,NDIETTE NGOHE,02,549,CLASSE CI A
DIOURBEL,NGOHE,NDIETTE NGOHE,03,561,CLASSE CE2 A
DIOURBEL,NGOHE,NDIETTE NGOHE,04,546,SALLE DE CLASSE
DIOURBEL,NGOHE,NDIETTE NGOHE,05,399,SALLE DE CLASSE CI B
DIOURBEL,NGOHE,NDIGALEME,01,159,ECOLE ELEMENTAIRE
DIOURBEL,NGOHE,NDJISSE,01,600,CLASSE CM2
DIOURBEL,NGOHE,NDOFFENE ECOLE,01,462,CLASSE CM2
DIOURBEL,NGOHE,NDOFFENE ECOLE,02,461,CLASSE CE2
DIOURBEL,NGOHE,TOCK NGOL,01,472,CLASSE CM2
