DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DIOURBEL,TAIBA MOUTOUPHA,DAROU MBAYE,01,186,CASE DE SANTE
DIOURBEL,TAIBA MOUTOUPHA,ECOLE MBAMBE,01,295,SALLE DE CLASSE
DIOURBEL,TAIBA MOUTOUPHA,ECOLE NDIETTE,01,404,SALLE DE CLASSE
DIOURBEL,TAIBA MOUTOUPHA,ECOLE THIALY,01,216,MAGASIN COOPERATIVE
DIOURBEL,TAIBA MOUTOUPHA,GNINGUENE,01,331,CLASSE CP
DIOURBEL,TAIBA MOUTOUPHA,MBARASSANE,01,546,CLASSE CE1
DIOURBEL,TAIBA MOUTOUPHA,MBARASSANE,02,158,SALLE DE CLASSE CM1
DIOURBEL,TAIBA MOUTOUPHA,NDIA LAPPE,01,235,CLASSE CE2
DIOURBEL,TAIBA MOUTOUPHA,NDIAMBOUTY,01,225,ABRI PROVISOIRE
DIOURBEL,TAIBA MOUTOUPHA,TAIBA MOUTOUPHA,01,563,CLASSE CM1
DIOURBEL,TAIBA MOUTOUPHA,TAIBA MOUTOUPHA,02,37,CLASSE CP
DIOURBEL,TAIBA MOUTOUPHA,THIENDIEGNE,01,435,CLASSE CE2
DIOURBEL,TAIBA MOUTOUPHA,TOUBE,01,127,CASE DE SANTE
DIOURBEL,TAIBA MOUTOUPHA,YAMAL,01,402,CLASSE CE1
