DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DIOURBEL,TOCKY GARE,AFFIA MBACKE LACKRAM,01,211,CLASSE CM1
DIOURBEL,TOCKY GARE,DOUGOUL SERERE,01,345,ABRI PROVISOIRE
DIOURBEL,TOCKY GARE,ECOLE DIOKAM,01,275,SALLE DE CLASSE CI
DIOURBEL,TOCKY GARE,ECOLE GOBACK,01,258,SALLE DE CLASSE CP
DIOURBEL,TOCKY GARE,ECOLE KHAYOKH,01,185,SALLE DE CLASSE CE1
DIOURBEL,TOCKY GARE,GODAGUENE,01,332,CLASSE CE2
DIOURBEL,TOCKY GARE,KEUR AMADOU DIOP,01,405,CLASSE CM2
DIOURBEL,TOCKY GARE,KEUR SAKH SAKH,01,425,MAGASIN FIDA
DIOURBEL,TOCKY GARE,KOBA,01,223,MAGASIN CEREALIER
DIOURBEL,TOCKY GARE,LOUMBEL THIAO,01,387,CLASSE CE2
DIOURBEL,TOCKY GARE,MBEYNA OUOLOF,01,340,ABRI PROVISOIRE
DIOURBEL,TOCKY GARE,MEDE,01,230,ABRI PROVISOIRE
DIOURBEL,TOCKY GARE,MERINA SARR,01,277,ABRI PROVISOIRE
DIOURBEL,TOCKY GARE,NDAYANE,01,365,CLASSE CP
DIOURBEL,TOCKY GARE,NEBE SERERE,01,565,CLASSE CM2
DIOURBEL,TOCKY GARE,NENE,01,276,ABRI PROVISOIRE
DIOURBEL,TOCKY GARE,NGOLOMONE,01,256,MAGASIN FIDA
DIOURBEL,TOCKY GARE,TOCKY GARE,01,522,CLASSE CM1 B
DIOURBEL,TOCKY GARE,TOCKY GARE,02,523,CLASSE CP
DIOURBEL,TOCKY GARE,TOCKY GARE,03,522,SALLE DE CLASSE
DIOURBEL,TOCKY GARE,WALALANE,01,274,CLASSE CE2
