DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,01,582,CLASSE CIA
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,02,584,CLASSE CPA
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,03,583,CLASSE CE1B
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,04,582,CLASSE CM1A
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,05,582,CLASSE CM2B
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,06,581,CLASSE CM2A
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,07,584,CLASSE CE1A
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,08,583,CLASSE CIC
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,09,581,CLASSE CE2A
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,10,580,CLASSE CE1 B
MBACKE,MBACKE,ECOLE CHEIKH IBRA FALL,11,582,CLASSE CE1 A
MBACKE,MBACKE,ECOLE DIAMGUENE,01,577,CLASSE CE2A
MBACKE,MBACKE,ECOLE DIAMGUENE,02,576,CLASSE CM2B
MBACKE,MBACKE,ECOLE DIAMGUENE,03,574,CLASSE CIA
MBACKE,MBACKE,ECOLE DIAMGUENE,04,578,CLASSE CE1A
MBACKE,MBACKE,ECOLE FRANCO ARABE OMAR DIOP,01,288,CLASSE CE1B
MBACKE,MBACKE,ECOLE FRANCO ARABE OMAR DIOP,02,288,CLASSE CPB
MBACKE,MBACKE,ECOLE FRANCO ARABE OMAR DIOP,03,289,CLASSE CIB
MBACKE,MBACKE,ECOLE FRANCO ARABE OMAR DIOP,04,289,CLASSE CE2A
MBACKE,MBACKE,ECOLE FRANCO ARABE OMAR DIOP,05,288,CLASSE CM1
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,01,587,CLASSE CM1A
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,02,591,CLASSE CM2A
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,03,588,CLASSE CM2B
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,04,591,CLASSE CE2B
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,05,585,CLASSE CE1B
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,06,589,CLASSE CPB
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,07,587,CLASSE CPA
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,08,584,CLASSE CIA
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,09,589,CLASSE CE 1 C
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,10,591,CLASSE CE1A
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,11,585,CLASSE CPC
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,12,586,CLASSE CP1B
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,13,589,CLASSE CE1 A
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,14,588,CLASSE CP C
MBACKE,MBACKE,ECOLE MAME CHEIKH ANTA MBACKE,15,408,CLASSE CM2 C
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,01,574,CLASSE CE2A
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,02,573,CLASSE CE1A
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,03,575,CLASSE CM2B
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,04,576,CLASSE CM2A
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,05,570,CLASSE CIB
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,06,572,CLASSE CIA
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,07,575,CLASSE CIC
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,08,577,CLASSE CM1C
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,09,575,CLASSE CM1A
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,10,568,CLASSE CM1 B
MBACKE,MBACKE,ECOLE MAME MOR DIARRA,11,396,CLASSE CE1 A
MBACKE,MBACKE,ECOLE MATERNELLE,01,517,SALLE 1
MBACKE,MBACKE,ECOLE MATERNELLE,02,517,SALLE 2
MBACKE,MBACKE,ECOLE MATERNELLE,03,517,SALLE 3
MBACKE,MBACKE,ECOLE MBACKE KHEWAR 1,01,538,CLASSE CIA
MBACKE,MBACKE,ECOLE MBACKE KHEWAR 1,02,541,CLASSE CE1B
MBACKE,MBACKE,ECOLE MBACKE KHEWAR 1,03,543,CLASSE CM1B
MBACKE,MBACKE,ECOLE MBACKE KHEWAR 1,04,545,CLASSE CM2A
MBACKE,MBACKE,ECOLE MBACKE KHEWAR 1,05,511,CLASSE CE2 A
MBACKE,MBACKE,ECOLE NDIAKALACK,01,585,CLASSE CIA
MBACKE,MBACKE,ECOLE NDIAKALACK,02,581,CLASSE CPA
MBACKE,MBACKE,ECOLE NDIAKALACK,03,584,CLASSE CM2 B
MBACKE,MBACKE,ECOLE NDIAKALACK,04,582,CLASSE CM1 B
MBACKE,MBACKE,ECOLE NDIAKALACK,05,586,CLASSE CM1A
MBACKE,MBACKE,ECOLE NDIAKALACK,06,582,CLASSE CE2B
MBACKE,MBACKE,ECOLE NDIAKALACK,07,583,CLASSE CE2 A
MBACKE,MBACKE,ECOLE SERIGNE BASSIROU MBACKE,01,571,CLASSE CIB
MBACKE,MBACKE,ECOLE SERIGNE BASSIROU MBACKE,02,568,CLASSE CE1B
MBACKE,MBACKE,ECOLE SERIGNE BASSIROU MBACKE,03,568,CLASSE CM1A
MBACKE,MBACKE,ECOLE SERIGNE BASSIROU MBACKE,04,563,CLASSE CE2A
MBACKE,MBACKE,ECOLE SERIGNE BASSIROU MBACKE,05,299,CLASSE CP B
MBACKE,MBACKE,ECOLE SERIGNE MASSAMBA MBACKE,01,555,CLASSE CE1A
MBACKE,MBACKE,ECOLE SERIGNE MASSAMBA MBACKE,02,555,CLASSE CE1B
MBACKE,MBACKE,ECOLE SERIGNE MASSAMBA MBACKE,03,557,CLASSE CP
MBACKE,MBACKE,ECOLE SOKHNA KHARY PENDA FALL,01,566,CLASSE CM2B
MBACKE,MBACKE,ECOLE SOKHNA KHARY PENDA FALL,02,572,CLASSE CE2B
MBACKE,MBACKE,ECOLE SOKHNA KHARY PENDA FALL,03,567,CLASSE CM1A
MBACKE,MBACKE,ECOLE SOKHNA KHARY PENDA FALL,04,571,CLASSE CE1B
MBACKE,MBACKE,ECOLE SOKHNA KHARY PENDA FALL,05,572,CLASSE CIA
MBACKE,MBACKE,ECOLE SOKHNA KHARY PENDA FALL,06,574,CLASSE CM1 B
MBACKE,MBACKE,ECOLE SOKHNA KHARY PENDA FALL,07,571,CLASSE CM2A
MBACKE,MBACKE,ECOLE SOKHNA KHARY PENDA FALL,08,568,CLASSE CM2C
MBACKE,MBACKE,ECOLE SOKHNA KHARY PENDA FALL,09,570,CLASSE CIC
MBACKE,MBACKE,ECOLE SOKHNA KHARY PENDA FALL,10,364,CLASSE CP C
MBACKE,MBACKE,FOYER DE LA FEMME,01,561,ECOLE CHEIKH MOUSTAPHA FALL
MBACKE,MBACKE,FOYER DE LA FEMME,02,559,ECOLE CHEIKH MOUSTAPHA FALL
MBACKE,MBACKE,FOYER DE LA FEMME,03,559,ECOLE CHEIKH MOUSTAPHA FALL
