DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBACKE,TOUBA MOSQUEE,AFFE,01,220,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,01,548,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,02,550,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,03,552,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,04,551,MARCHE ALIA ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,05,554,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,06,554,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,07,554,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,08,554,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,09,553,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,10,551,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,11,554,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,ALIA,12,553,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BACOURA,01,352,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BANGATHIE,01,165,CLASSE CP
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,01,568,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,02,569,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,03,566,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,04,568,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,05,567,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,06,569,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,07,567,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,08,566,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,09,569,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,10,568,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,11,569,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,12,568,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,13,569,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,14,567,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,15,565,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,16,568,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,17,566,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,18,568,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,19,568,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,20,568,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,21,568,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,22,565,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,Lieu de vote,Bureau,Electeurs,
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,23,567,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR NIANG X CORNICHE RTE SOLBOCK,24,567,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,01,581,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,02,586,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,03,584,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,04,589,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,05,590,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,06,581,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,07,585,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,08,583,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,09,585,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,10,581,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,11,584,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,12,583,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,13,583,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,14,586,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,15,584,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,16,584,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,17,584,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,18,583,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,19,581,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,20,585,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,21,582,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,22,585,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,23,581,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,24,584,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,25,589,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,26,581,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,27,582,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,28,585,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,29,584,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,30,586,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,31,585,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,32,580,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,33,589,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,34,588,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,35,582,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,36,582,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,37,584,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,Lieu de vote,Bureau,Electeurs,
MBACKE,TOUBA MOSQUEE,BLVD KEUR SERIGNE NIANE DIOP X CORNICHE,38,584,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,01,597,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,02,595,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,03,596,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,04,596,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,05,587,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,06,594,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,07,593,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,08,593,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,09,595,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,10,593,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,11,597,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,12,596,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,13,593,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,14,594,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,15,591,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,16,591,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,17,594,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,18,596,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,19,593,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,20,595,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,21,594,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,22,595,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,23,595,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,24,595,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,25,591,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,26,592,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,27,592,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,28,595,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,29,589,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,30,590,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,31,592,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BLVD TINDODY ANGLE ROCADE EST,32,593,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BOREL THIALENE,01,347,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BOREL THIALENE,02,347,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BOREL THIALENE,03,346,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BOUKHATOUL MOUBARAKA,01,522,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BOUKHATOUL MOUBARAKA,02,523,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,Lieu de vote,Bureau,Electeurs,
MBACKE,TOUBA MOSQUEE,BOUKHATOUL MOUBARAKA,03,523,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BOUKHATOUL MOUBARAKA,04,521,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BOUKHATOUL MOUBARAKA,05,520,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BOUKHATOUL MOUBARAKA,06,522,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BOUKHATOUL MOUBARAKA,07,522,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BOUKHATOUL MOUBARAKA,08,523,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BOUKHATOUL MOUBARAKA,09,522,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BOUKHATOUL MOUBARAKA,10,523,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BOUKHATOUL MOUBARAKA,11,524,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BOUKHATOUL MOUBARAKA,12,523,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BOUKHATOUL MOUBARAKA,13,524,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BOUKHATOUL MOUBARAKA,14,522,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BOUKHATOUL MOUBARAKA,15,523,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BOUKHATOUL MOUBARAKA,16,523,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,BOUKHATOUL MOUBARAKA,17,521,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU BOGO,01,144,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU KARIM,01,588,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU KARIM,02,587,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU KARIM,03,47,ECOLE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,01,437,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,02,435,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,03,434,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,04,434,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,05,435,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,06,435,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,07,435,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,08,434,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,09,436,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,10,435,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,11,434,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,12,433,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,13,431,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,14,436,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,15,436,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,16,434,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,17,434,ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,18,432,ECOLE AL AZHAR ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,19,435,ECOLE AL AZHAR ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,Lieu de vote,Bureau,Electeurs,
MBACKE,TOUBA MOSQUEE,DAROU MARNANE AL AZAR,20,435,ECOLE AL AZHAR ABRI PROVISOIRE
MBACKE,TOUBA MOSQUEE,DAROU MARNANE ARRONDISSEMENT,01,519,CLASSE CIA
MBACKE,TOUBA MOSQUEE,DAROU MARNANE ARRONDISSEMENT,02,517,CLASSE CIB
MBACKE,TOUBA MOSQUEE,DAROU MARNANE ARRONDISSEMENT,03,518,CLASSE CPA
MBACKE,TOUBA MOSQUEE,DAROU MARNANE ARRONDISSEMENT,04,518,CLASSE CPB
MBACKE,TOUBA MOSQUEE,DAROU MARNANE ARRONDISSEMENT,05,518,CLASSE CE1A
MBACKE,TOUBA MOSQUEE,DAROU MARNANE ARRONDISSEMENT,06,517,CLASSE CE1B
MBACKE,TOUBA MOSQUEE,DAROU MARNANE ARRONDISSEMENT,07,517,CLASSE CE2A
MBACKE,TOUBA MOSQUEE,DAROU MARNANE ARRONDISSEMENT,08,515,CLASSE CE2 B
