DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FATICK,DIARRERE,BICOLE,01,521,ECOLE CE 2 SALLE N°1
FATICK,DIARRERE,BICOLE,02,521,ECOLE CM1 SALLE 3
FATICK,DIARRERE,DIARRERE,01,547,ECOLE CE 1 N°1
FATICK,DIARRERE,DIARRERE,02,544,ECOLE CM2 N°3
FATICK,DIARRERE,DIARRERE,03,547,ECOLE CE 2 N°5
FATICK,DIARRERE,DIARRERE,04,543,ECOLE CI 2 N°6
FATICK,DIARRERE,DIARRERE,05,502,ECOLE CPA
FATICK,DIARRERE,DIARRERE,06,289,ECOLE CLASSE CE1 A
FATICK,DIARRERE,DIOHINE,01,554,ECOLE CM 2
FATICK,DIARRERE,DIOHINE,02,561,ECOLE CE 1  N°3
FATICK,DIARRERE,DIOHINE,03,565,ECOLE CLASSE CE2
FATICK,DIARRERE,DIOHINE,04,213,ECOLE CLASSE CM1
FATICK,DIARRERE,ECOLE ELEMENTAIRE MOKANE NGOUYE,01,148,ABRI PROVISOIRE
FATICK,DIARRERE,ECOLE KHASSOUS,01,317,SALLE 1
FATICK,DIARRERE,ECOLE LEME,01,238,CE1
FATICK,DIARRERE,ECOLE NDOUF,01,388,ECOLE CE1 SALLE N°1
FATICK,DIARRERE,ECOLE WANDIANA,01,227,SALLE 7
FATICK,DIARRERE,GADIACK 1,01,457,ECOLE CE 1 SALLE N° 1
FATICK,DIARRERE,GADIACK 1,02,457,ECOLE CE 1 SALLE N°3
FATICK,DIARRERE,GODEL,01,380,ECOLE SALLE DE CLASSE CE1
FATICK,DIARRERE,KOTHIOKH,01,582,ECOLE CE2 SALLE N°1
FATICK,DIARRERE,LOGDIR,01,524,ECOLE CE 2 SALLE N°1
FATICK,DIARRERE,MBASSIS ECOLE,01,306,ECOLE CE 2 SALLE N°1
FATICK,DIARRERE,MBETITE,01,528,ECOLE CM2 SALLE N°1
FATICK,DIARRERE,NDOUNDOKH,01,481,ECOLE CE2 SALLE N°1
FATICK,DIARRERE,NGARDIAME,01,270,ECOLE SALLE DE CLASSE CE1
FATICK,DIARRERE,NGODJILEME,01,278,ECOLE SALLE DE CLASSE CE2
FATICK,DIARRERE,POULTOCK DIOHINE,01,582,ECOLE CE2 SALLE N°1
FATICK,DIARRERE,POULTOCK DIOHINE,02,66,ECOLE CLASSE CM1 SALLE 6
FATICK,DIARRERE,SANGHARE,01,411,ECOLE CP1 SALLE N°1
FATICK,DIARRERE,SOBEME,01,381,ECOLE CE2 SALLE N°1
