DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FATICK,MBELLACADIAO,DIAGLE,01,213,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,ECOLE NGOULOUL SERERE,01,386,ECOLE SALLE DE CLASSE 1
FATICK,MBELLACADIAO,MBELLACADIAO ECOLE,01,584,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,MBELLACADIAO ECOLE,02,589,SALLE DE CLASSE 4
FATICK,MBELLACADIAO,MBELLACADIAO ECOLE,03,585,SALLE DE CLASSE 6
FATICK,MBELLACADIAO,MBELLACADIAO ECOLE,04,60,SALLE DE CLASSE 7
FATICK,MBELLACADIAO,MBOTIL COOP,01,300,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,MBOUMA,01,448,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,NDAYRI,01,564,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,NDOFFANE LATIR,01,477,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,NGOULOUL PEULH,01,192,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,NGUIDINE SERERE,01,368,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,OUYAL SANDE SERERE,01,519,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,POUKHAME TOCK,01,510,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,POUKHAME TOCK,02,122,ECOLE ELEMENTAIRE SALLE CM1
FATICK,MBELLACADIAO,SAKHAO PLACE DU VILLAGE,01,547,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,TAGDIAM,01,240,SALLE DE CLASSE 1
FATICK,MBELLACADIAO,THIABA,01,231,SALLE DE CLASSE 1
