DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,01,562,ECOLE ELEMENTAIRE ABD SALLE 1
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,02,566,ECOLE ELEMENTAIRE ABD SALLE 3
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,03,562,ECOLE ELEMENTAIRE ABD SALLE 5
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,04,568,ECOLE ELEMENTAIRE ABD SALLE 7
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,05,576,ECOLE ELEMENTAIRE ABD SALLE 4
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,06,569,ECOLE ELEMENTAIRE ABD SALLE11
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,07,560,ECOLE ELEMENTAIRE ABD SALLE 8
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,08,572,SALLE 12
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,09,550,SALLE 9
FATICK,NIAKHAR,ECOLE AMADY BARRO DIOUF,10,452,SALLE 2
FATICK,NIAKHAR,ECOLE ARABE MBOLTOGNE,01,397,SALLE DE CLASSE
FATICK,NIAKHAR,ECOLE PUBLIQUE LANGHEME,01,426,SALLE 3
FATICK,NIAKHAR,ECOLE PUBLIQUE MBAFAYE,01,402,SALLE 2
FATICK,NIAKHAR,ECOLE PUBLIQUE NDIANEME,01,222,SALLE 1
FATICK,NIAKHAR,ECOLE PUBLIQUE NDIEMOU,01,316,SALLE 1
FATICK,NIAKHAR,ECOLE PUBLIQUE NIONDOUNE,01,158,SALLE 1
FATICK,NIAKHAR,ECOLE PUBLIQUE PODOME,01,251,SALLE 1
FATICK,NIAKHAR,ECOLE PUBLIQUE SAGNE FOLO,01,260,SALLE 1
FATICK,NIAKHAR,ECOLE PUBLIQUE SASS MACK,01,236,SALLE 1
FATICK,NIAKHAR,GODAGUENE,01,365,ECOLE PUBLIQUE SALLE 1
FATICK,NIAKHAR,MBANE,01,348,ECOLE PUBLIQUE SALLE 1
FATICK,NIAKHAR,MBOUDAYE,01,550,ECOLE PUBLIQUE SALLE 1
FATICK,NIAKHAR,MBOUKHOUTOUR,01,250,ECOLE PUBLIQUE SALLE 1
FATICK,NIAKHAR,MEME,01,365,ECOLE ELEMENTAIRE S1
FATICK,NIAKHAR,NDOSS MBADIOCK,01,367,ECOLE PUBLIQUE SALLE 1
FATICK,NIAKHAR,NDOSS MBADIOCK,02,368,ECOLE PUBLIQUE SALLE 4
FATICK,NIAKHAR,NIANIANE,01,429,ECOLE PUBLIQUE SALLE 1
FATICK,NIAKHAR,POUKHAME,01,304,ECOLE PUBLIQUE SALLE 1
FATICK,NIAKHAR,SAGNE,01,489,ECOLE PUBLIQUE SALLE 1
FATICK,NIAKHAR,SANGHAIE,01,480,ECOLE PUBLIQUE SALLE 1
FATICK,NIAKHAR,SANGHAIE,02,481,ECOLE PUBLIQUE SALLE 4
FATICK,NIAKHAR,SOROKH,01,518,ECOLE ELEMENTAIRE SALLE 1
FATICK,NIAKHAR,YENGUELE,01,344,ECOLE PUBLIQUE ELEMENT SALLE 1
FATICK,NIAKHAR,YENGUELE,02,344,ECOLE PIBLIQUE ELEMENT SALLE 3
