DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FATICK,TATTAGUINE,BACOBOF,01,595,ECOLE  CE1
FATICK,TATTAGUINE,BACOBOF,02,597,ECOLE SALLE DE CLASSE CM1
FATICK,TATTAGUINE,ECOLE NGOHE MBOUGUEL,01,246,CLASSE CE1 SALLE 3
FATICK,TATTAGUINE,GARAGE MBAMBARA TATTAGUINE,01,55,ECOLE CP2 SALLE N°1
FATICK,TATTAGUINE,KAMIACK,01,231,ECOLE CLASSE CM 2
FATICK,TATTAGUINE,KEUR MANGARI,01,390,ECOLE CE1 SALLE N°1
FATICK,TATTAGUINE,KHONDIOGNE,01,600,ECOLE CE1 SALLE N°1
FATICK,TATTAGUINE,LOUL SOB,01,103,ECOLE CLASSE CM2 SALLE 7
FATICK,TATTAGUINE,MBEDAP,01,379,ECOLE CE2 SALLE N°1
FATICK,TATTAGUINE,MBEDAP,02,355,ECOLE SALLE 2
FATICK,TATTAGUINE,MBELLONGOUTE,01,418,ECOLE CM1
FATICK,TATTAGUINE,MBELLONGOUTE,02,350,ECOLE SALLE 5
FATICK,TATTAGUINE,NAKHAMAYE,01,285,ECOLE SALLE DE CLASSE CE2
FATICK,TATTAGUINE,NDIOSMONE,01,561,ECOLE CE1
FATICK,TATTAGUINE,NDIOSMONE,02,557,ECOLE CI
FATICK,TATTAGUINE,NDIOSMONE,03,108,ECOLE CLASSE CM2
FATICK,TATTAGUINE,NDOFFANE,01,117,ABRI PROVISOIRE
FATICK,TATTAGUINE,NGOHE MBADATTE,01,584,ECOLE SALLE DE CLASSE CI
FATICK,TATTAGUINE,NGOHE MBADATTE,02,76,ECOLE CLASSE CP
FATICK,TATTAGUINE,NGOHE NDOFOGOR,01,415,ECOLE CE1
FATICK,TATTAGUINE,NGOHE NDOFOGOR,02,413,ECOLE CM1
FATICK,TATTAGUINE,NGOHE POFINE,01,480,ECOLE CP2
FATICK,TATTAGUINE,NGOHE POFINE,02,480,ECOLE CE2
FATICK,TATTAGUINE,POULTOCK NDIOSMONE,01,470,ECOLE CM1
FATICK,TATTAGUINE,TATTAGUINE ESCALE,01,565,ECOLE CP1
FATICK,TATTAGUINE,TATTAGUINE ESCALE,02,568,ECOLE CM1
FATICK,TATTAGUINE,TATTAGUINE ESCALE,03,569,ECOLE  CE2
FATICK,TATTAGUINE,TATTAGUINE KEUR MARTIN,01,329,ECOLE SALLE DE CLASSE CE1
FATICK,TATTAGUINE,TATTAGUINE SERERE,01,480,ECOLE CE2
FATICK,TATTAGUINE,TATTAGUINE SERERE,02,490,ECOLE SALLE DE CLASSE CE1
FATICK,TATTAGUINE,TATTAGUINE SERERE,03,469,ECOLE SALLE DE CLASSE CM2
FATICK,TATTAGUINE,TATTAGUINE SERERE,04,471,ECOLE CLASSE CM1
FATICK,TATTAGUINE,THIAMENE,01,446,ECOLE CE2
