DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,DIOSSONG,BAMBOUGAR MALICK,01,560,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,DIOSSONG,01,478,ECOLE 1 CLASSE 1
FOUNDIOUGNE,DIOSSONG,DIOSSONG,02,479,ECOLE 1 CLASSE 4
FOUNDIOUGNE,DIOSSONG,DIOSSONG,03,478,ECOLE 1 SALLE 3
FOUNDIOUGNE,DIOSSONG,ECOLE ELEMENTAIRE KEUR ABDOU YACINE,01,213,SALLE 1
FOUNDIOUGNE,DIOSSONG,ECOLE ELEMENTAIRE THIAMENE BIRANE,01,262,SALLE 2
FOUNDIOUGNE,DIOSSONG,KEBE ANSOU,01,310,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,KEBE COUDE,01,493,FOYER DE LA FEMME
FOUNDIOUGNE,DIOSSONG,KEUR ELIMANE,01,304,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,KEUR LAHINE FATIM,01,391,ABRI PROVISOIRE
FOUNDIOUGNE,DIOSSONG,KEUR LAHINE FATIM,02,72,ABRI PROVISOIRE 2
FOUNDIOUGNE,DIOSSONG,LERANE COLI,01,421,ECOLE 1 CLASSE 1
FOUNDIOUGNE,DIOSSONG,LERANE SAMBOU,01,488,ABRI PROVISOIRE
FOUNDIOUGNE,DIOSSONG,MBOULOUM,01,477,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,MBOWENE SOULEYE,01,540,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,NDIAFFE NDIAFFE,01,589,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,NDIAYE NDIAYE OUOLOF,01,441,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,NDIAYE NDIAYE OUOLOF,02,439,ECOLE 1 SALLE 2
FOUNDIOUGNE,DIOSSONG,NDIONGONE BOURE,01,333,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,NDORONG OUOLOF,01,267,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,NDORONG SERERE,01,369,ECOLE 1 SALLE 1
FOUNDIOUGNE,DIOSSONG,NDRAME MACOUMBA,01,493,ECOLE RADI SALLE 1
FOUNDIOUGNE,DIOSSONG,TALLENE,01,328,ABRI PROVISOIRE
