DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,DJILOR,BANDANDAR,01,311,ECOLE1 SALLE 1
FOUNDIOUGNE,DJILOR,BANDANDAR,02,311,SALLE 4
FOUNDIOUGNE,DJILOR,BANGALERE,01,168,ECOLE1 SALLE 1
FOUNDIOUGNE,DJILOR,BOLI,01,186,ECOLE 1 CLASSE CM 2
FOUNDIOUGNE,DJILOR,DJILOR,01,579,ECOLE1 SALLE 1
FOUNDIOUGNE,DJILOR,DJILOR,02,578,ECOLE1 SALLE 4
FOUNDIOUGNE,DJILOR,DJILOR,03,578,ECOLE1 SALLE 6
FOUNDIOUGNE,DJILOR,DJILOR,04,578,ECOLE 1 SALLE 3
FOUNDIOUGNE,DJILOR,FELANE,01,338,FOYER DE LA FEMME
FOUNDIOUGNE,DJILOR,FELANE,02,337,ABRI PROVISOIRE
FOUNDIOUGNE,DJILOR,GAGUE CHERIF,01,383,ECOLE1 SALLE 1
FOUNDIOUGNE,DJILOR,GAGUE CHERIF,02,198,ECOLE SALLE 3
FOUNDIOUGNE,DJILOR,GOUDEME SIDY,01,391,ABRI PROVISOIRE
FOUNDIOUGNE,DJILOR,KEUR CHEIKHOU,01,213,ECOLE 1 SALLE 3
FOUNDIOUGNE,DJILOR,KEUR DABO,01,161,ECOLE 1 SALLE 9
FOUNDIOUGNE,DJILOR,KEUR FARBA,01,311,ECOLE 1 SALLE 1
FOUNDIOUGNE,DJILOR,KEUR MOR DIOP,01,523,ECOLE1 SALLE 1
FOUNDIOUGNE,DJILOR,KEUR OUMAR,01,154,CLASSE CE 1
FOUNDIOUGNE,DJILOR,KEUR YORO,01,458,CLASSE CP
FOUNDIOUGNE,DJILOR,NDIASSANE SALOUM,01,558,ECOLE1 SALLE 1
FOUNDIOUGNE,DJILOR,NDIASSANE SALOUM,02,70,ECOLE 1 SALLE 4
FOUNDIOUGNE,DJILOR,NDIOMNDI,01,467,ECOLE1 SALLE 1
FOUNDIOUGNE,DJILOR,NGUEKOKH,01,351,ECOLE1 SALLE 1
FOUNDIOUGNE,DJILOR,NGUEKOKH,02,179,ECOLE SALLE 2
FOUNDIOUGNE,DJILOR,SADIOGA,01,290,ECOLE1 SALLE1
FOUNDIOUGNE,DJILOR,SADIOGA,02,289,ECOLE1 SALLE4
