DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,FOUNDIOUGNE,ECOLE 2,01,546,CLASSE CE1A
FOUNDIOUGNE,FOUNDIOUGNE,ECOLE 2,02,556,CLASSE CM1B
FOUNDIOUGNE,FOUNDIOUGNE,ECOLE 2,03,545,CLASSE CIA
FOUNDIOUGNE,FOUNDIOUGNE,ECOLE 2,04,487,CLASSE CE 2 A
FOUNDIOUGNE,FOUNDIOUGNE,ECOLE THIAMENE,01,555,CLASSE CE1
FOUNDIOUGNE,FOUNDIOUGNE,ECOLE THIAMENE,02,560,CLASSE CE2
FOUNDIOUGNE,FOUNDIOUGNE,ECOLE THIAMENE,03,193,CLASSE CP A
FOUNDIOUGNE,FOUNDIOUGNE,FOUNDIOUGNE MAIRIE,01,551,ECOLE 1 CLASSE CE1 B
FOUNDIOUGNE,FOUNDIOUGNE,FOUNDIOUGNE MAIRIE,02,545,ECOLE 1 CLASSE CE2 B
FOUNDIOUGNE,FOUNDIOUGNE,FOUNDIOUGNE MAIRIE,03,546,ECOLE 1 CLASSE CM1 B
FOUNDIOUGNE,FOUNDIOUGNE,FOUNDIOUGNE MAIRIE,04,186,ECOLE 1 CLASSE CP A
