DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,KARANG POSTE,ECOLE ELEMENTAIRE  KARANG SOCE,01,345,CLASSE CE1
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,01,582,CLASSE CM2A
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,02,579,CLASSE CM2B
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,03,584,CLASSE CM1A
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,04,580,CLASSE CM1B
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,05,576,CLASSE CE2A
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,06,581,CLASSE CE2B
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,07,572,CLASSE CE1 A
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,08,578,CLASSE CE1B
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,09,586,ECOLE 4 SALLE 1
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,10,580,ECOLE 4 SALLE 2
FOUNDIOUGNE,KARANG POSTE,KARANG POSTE,11,512,ECOLE 4 SALLE 3
