DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,MBAM,ECOLE ELEMENTAIRE GAGUE BOCAR,01,325,ECOLE ELEMENTAIRE CLASSE CM 1
FOUNDIOUGNE,MBAM,GAGUE MODI,01,288,ECOLE1 SALLE 1
FOUNDIOUGNE,MBAM,GAGUE MODI,02,287,ECOLE1 SALLE 2
FOUNDIOUGNE,MBAM,MBAM,01,573,ECOLE1 SALLE 1
FOUNDIOUGNE,MBAM,MBAM,02,573,ECOLE1 SALLE 4
FOUNDIOUGNE,MBAM,MBAM,03,571,ECOLE1 SALLE 6
FOUNDIOUGNE,MBAM,MBAM,04,572,ECOLE 1 SALLE 3
FOUNDIOUGNE,MBAM,MBASSIS,01,520,ECOLE 1 SALLE 1
FOUNDIOUGNE,MBAM,MBASSIS,02,517,ECOLE 1 SALLE 4
FOUNDIOUGNE,MBAM,MBASSIS,03,226,ECOLE 1 SALLE 3
FOUNDIOUGNE,MBAM,NDORONG LOG,01,594,ECOLE1 SALLE 1
FOUNDIOUGNE,MBAM,THIARE,01,558,ECOLE1 SALLE 1
FOUNDIOUGNE,MBAM,THIARE,02,385,ECOLE SALLE 2
