DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MALEM HODAR,KHELCOM,TOUBA KHELCOM,1,463,ABRI PROVISOIRE
MALEM HODAR,NDIOUM NGAINTHE,BELAL NDENDOGUI,1,350,ABRI PROVISOIRE
MALEM HODAR,NDIOUM NGAINTHE,DAROU MBANE,1,350,ABRI PROVISOIRE
MALEM HODAR,NDIOUM NGAINTHE,ECOLE ELEMENTAIRE DE BOGUEL,1,109,SALLE 1
MALEM HODAR,NDIOUM NGAINTHE,ECOLE ELEMENTAIRE DE LEWE,1,263,SALLE 3
MALEM HODAR,NDIOUM NGAINTHE,ECOLE ELEMENTAIRE DE NDIOUM NGAINTHE,1,505,ECOLE NDIOUM NGAINTHE
MALEM HODAR,NDIOUM NGAINTHE,ECOLE ELEMENTAIRE DE NDIOUM NGAINTHE,2,497,ECOLE NDIOUM NGAINTHE
MALEM HODAR,NDIOUM NGAINTHE,ECOLE ELEMENTAIRE DE NDIOUM NGAINTHE,3,491,ECOLE NDIOUM NGAINTHE
MALEM HODAR,NDIOUM NGAINTHE,ECOLE ELEMENTAIRE DE NDIOUM NGAINTHE,4,483,CLASSE CI
MALEM HODAR,NDIOUM NGAINTHE,ECOLE ELEMENTAIRE DE TOUBA FALL,1,201,SALLE 1
MALEM HODAR,NDIOUM NGAINTHE,ECOLE FRANCO ARABE DAROU NIANG,1,147,SALLE 3
MALEM HODAR,NDIOUM NGAINTHE,KHOUROU LOUMBE,1,331,ABRI PROVISOIRE
MALEM HODAR,NDIOUM NGAINTHE,MBANE,1,269,ECOLE SALLE 1
MALEM HODAR,NDIOUM NGAINTHE,MEDINA NDIAYENE,1,185,ABRI PROVISOIRE
MALEM HODAR,NDIOUM NGAINTHE,SANTHIE EL HADJ MAFAYE,1,142,ABRI PROVISOIRE
MALEM HODAR,NDIOUM NGAINTHE,TAIF NDIOUM,1,371,ABRI PROVISOIRE
MALEM HODAR,NDIOUM NGAINTHE,THIOYI NDIOUM,1,364,ABRI PROVISOIRE
MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE,1,541,CLASSE CE2 B
MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE,2,562,CLASSE CI A
MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE,3,543,CLASSE CI B
MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE,4,503,CLASSE CM1
MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE,5,423,CLASSE CP B
MALEM HODAR,MALEM HODAR,ECOLE ELEMENTAIRE DE BADIANENE,1,279,CLASSE CI
