DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAFFRINE,GNIBY,BIT NGUEL,01,137,ABRI PROVISOIRE
KAFFRINE,GNIBY,BONDIE,01,538,ECOLE SALLE 1
KAFFRINE,GNIBY,BONDIE,02,537,ECOLE SALLE 2
KAFFRINE,GNIBY,DAROU SALAM,01,510,ABRI PROVISOIRE
KAFFRINE,GNIBY,DIOUMADA,01,329,ABRI PROVISOIRE
KAFFRINE,GNIBY,ECOLE DE MBEGUE,01,420,SALLE 1
KAFFRINE,GNIBY,ECOLE DE MBEGUE,02,420,SALLE 2
KAFFRINE,GNIBY,ECOLE GNIBI,01,573,SALLE 1
KAFFRINE,GNIBY,ECOLE GNIBI,02,574,SALLE 2
KAFFRINE,GNIBY,ECOLE GNIBI,03,574,SALLE DE CLASSE
KAFFRINE,GNIBY,HOTEL DE VILLE DE GNIBY,01,351,SALLE 1
KAFFRINE,GNIBY,HOTEL DE VILLE DE GNIBY,02,352,FOYER DES JEUNES DE GNIBY
KAFFRINE,GNIBY,HOTEL DE VILLE DE GNIBY,03,350,SALLE 2
KAFFRINE,GNIBY,KEBE YARA,01,254,ABRI PROVISOIRE
KAFFRINE,GNIBY,LAMBAYE,01,272,ABRI PROVISOIRE
KAFFRINE,GNIBY,PANAL MBAYARD,01,403,ABRI PROVISOIRE
KAFFRINE,GNIBY,TABA,01,191,ABRI PROVISOIRE
KAFFRINE,GNIBY,THIONE,01,484,ECOLE SALLE 1
