DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GUINGUINEO,MBADAKHOUNE,GNOLANEME,01,576,ECOLE PUBLIQUE SALLE N 2
GUINGUINEO,MBADAKHOUNE,GNOLANEME,02,576,ECOLE PUBLIQUE SALLE N3
GUINGUINEO,MBADAKHOUNE,GNOLANEME,03,576,ECOLE PUBLIQUE
GUINGUINEO,MBADAKHOUNE,KEBE,01,339,ECOLE PUBLIQUE SALLE N 1
GUINGUINEO,MBADAKHOUNE,KONGOLI,01,407,ECOLE PUBLIQUE SALLE N 1
GUINGUINEO,MBADAKHOUNE,KONGOLI,02,325,ECOLE PUBLIQUE
GUINGUINEO,MBADAKHOUNE,LOUKI SEANE,01,304,ECOLE PUBLIQUE SALLE N 1
GUINGUINEO,MBADAKHOUNE,MACKA KAHONE,01,447,ECOLE PUBLIQUE SALLE N 1
GUINGUINEO,MBADAKHOUNE,MACKA KAHONE,02,447,ECOLE PUBLIQUE SALLE N 2
GUINGUINEO,MBADAKHOUNE,MBABOUMI,01,450,ECOLE PUBLIQUE SALLE N 1
GUINGUINEO,MBADAKHOUNE,MBADAKHOUNE,01,538,ECOLE PUBLIQUE SALLE N 1
GUINGUINEO,MBADAKHOUNE,MBADAKHOUNE,02,535,ECOLE PUBLIQUE SALLE N 2
GUINGUINEO,MBADAKHOUNE,MBADAKHOUNE,03,274,ECOLE PUBLIQUE SALLE N 3
GUINGUINEO,MBADAKHOUNE,MBOULEME,01,219,ECOLE PUBLIQUE SALLE N1
GUINGUINEO,MBADAKHOUNE,NDOUR NDOUR,01,290,ECOLE PUBLIQUE SALLE N 1
GUINGUINEO,MBADAKHOUNE,PAFFA,01,267,ECOLE PUBLIQUE SALLE N 1
GUINGUINEO,MBADAKHOUNE,PALADO,01,209,ECOLE ELEMENTAIRE
GUINGUINEO,MBADAKHOUNE,PARACELLE,01,470,CASE DE SANTE
GUINGUINEO,MBADAKHOUNE,SAVILA,01,206,ECOLE ELEMENTAIRE
