DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAOLACK,KAOLACK,BLOC SCIENTIFIQUE,01,586,SALLE EFS 2
KAOLACK,KAOLACK,BLOC SCIENTIFIQUE,02,586,SALLE EFS 3
KAOLACK,KAOLACK,BLOC SCIENTIFIQUE,03,586,SALLE SP 1
KAOLACK,KAOLACK,BLOC SCIENTIFIQUE,04,585,SALLE ET 1
KAOLACK,KAOLACK,BLOC SCIENTIFIQUE,05,585,SALLE ET 2
KAOLACK,KAOLACK,BLOC SCIENTIFIQUE,06,585,SALLE ET 3
KAOLACK,KAOLACK,BLOC SCIENTIFIQUE,07,585,SALLE SVT 1
KAOLACK,KAOLACK,BLOC SCIENTIFIQUE,08,586,SALLE SVT 2
KAOLACK,KAOLACK,BLOC SCIENTIFIQUE,09,585,SALLE SVT 3
KAOLACK,KAOLACK,BONGRE 1,01,569,SALLE1
KAOLACK,KAOLACK,BONGRE 1,02,568,SALLE 2
KAOLACK,KAOLACK,BONGRE 1,03,568,SALLE3
KAOLACK,KAOLACK,BONGRE 1,04,568,SALLE 4
KAOLACK,KAOLACK,BONGRE 1,05,569,SALLE 5
KAOLACK,KAOLACK,BONGRE 1,06,569,SALLE 6
KAOLACK,KAOLACK,CEM TAFSIR MIGNANE SARR,01,524,SALLE 4
KAOLACK,KAOLACK,CEM TAFSIR MIGNANE SARR,02,523,SALLE 5
KAOLACK,KAOLACK,CEM TAFSIR MIGNANE SARR,03,524,SALLE 6
KAOLACK,KAOLACK,CEM TAFSIR MIGNANE SARR,04,524,SALLE S A
KAOLACK,KAOLACK,CEM TAFSIR MIGNANE SARR,05,523,SALLE SB
KAOLACK,KAOLACK,CEM TAFSIR MIGNANE SARR,06,523,SALLE 13
KAOLACK,KAOLACK,CEM TAFSIR MIGNANE SARR,07,524,SALLE 3
KAOLACK,KAOLACK,COURS PRIVE DIONGUE,01,137,CM2
KAOLACK,KAOLACK,COURS PRIVE DIONGUE,02,137,CE2
KAOLACK,KAOLACK,ECOLE ABDOU KHADRE KEBE,01,444,CM2
KAOLACK,KAOLACK,ECOLE ABDOU KHADRE KEBE,02,444,CM1
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,01,568,CM2 A
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,02,572,CM2 B
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,03,574,CM1 A
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,04,569,CM1 B
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,05,564,CE2 A
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,06,564,CE2 B
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,07,566,CE1 A
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,08,573,CE1 B
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,09,559,CP A
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,10,563,CP B
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,11,566,CI A
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,12,569,SALLE 1 ECOLE MAT .T.M.S
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,13,544,SALLE 2 ECOLE MAT .T.M.S
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,14,544,SALLE 3 ECOLE MAT .T.M.S
KAOLACK,KAOLACK,ECOLE ABOU TOCAMA SY,15,543,SALLE 4 ECOLE MAT .T.M.S
KAOLACK,KAOLACK,ECOLE ALASSANE DIENG,01,553,CM2 A
KAOLACK,KAOLACK,ECOLE ALASSANE DIENG,02,551,CE2 A
KAOLACK,KAOLACK,ECOLE ALASSANE DIENG,03,561,CI A
KAOLACK,KAOLACK,ECOLE ALASSANE DIENG,04,529,CM1 A
KAOLACK,KAOLACK,ECOLE ALASSANE DIENG,05,338,CLASSE CI B
KAOLACK,KAOLACK,ECOLE ALPHA BODIEL DIALLO,01,548,CM1 A
KAOLACK,KAOLACK,ECOLE ALPHA BODIEL DIALLO,02,562,CM1 B
KAOLACK,KAOLACK,ECOLE ALPHA BODIEL DIALLO,03,563,CE2 A
KAOLACK,KAOLACK,ECOLE ALPHA BODIEL DIALLO,04,565,CE2 B
KAOLACK,KAOLACK,ECOLE ALPHA BODIEL DIALLO,05,566,CE1 A
KAOLACK,KAOLACK,ECOLE ALPHA BODIEL DIALLO,06,550,CE1 B
KAOLACK,KAOLACK,ECOLE ALPHA BODIEL DIALLO,07,552,CM2 A
KAOLACK,KAOLACK,ECOLE ALPHA BODIEL DIALLO,08,408,CM2 B
KAOLACK,KAOLACK,ECOLE CAMP DES GARDES,01,536,SALLE SASSY DIOUF
KAOLACK,KAOLACK,ECOLE CAMP DES GARDES,02,536,SALLE COMMISSARIAT CENTRAL
KAOLACK,KAOLACK,ECOLE CAMP DES GARDES,03,535,SALLE ROSALIA
KAOLACK,KAOLACK,ECOLE CAMP DES GARDES,04,535,SALLE MARIATOU SOW
KAOLACK,KAOLACK,ECOLE DAROU RAHMATY,01,503,CI A
KAOLACK,KAOLACK,ECOLE DAROU RAHMATY,02,503,CI B
KAOLACK,KAOLACK,ECOLE DAROU RAHMATY,03,502,CE1 A
KAOLACK,KAOLACK,ECOLE DAROU RAHMATY,04,502,CP A
KAOLACK,KAOLACK,ECOLE DAROU RAHMATY,05,502,CE1 A
KAOLACK,KAOLACK,ECOLE DE KOUNDAM,01,572,CM2 A
KAOLACK,KAOLACK,ECOLE DE KOUNDAM,02,571,CM2 B
KAOLACK,KAOLACK,ECOLE ELHADJI ABOU DIALLO,01,586,CE1 B
KAOLACK,KAOLACK,ECOLE ELHADJI ABOU DIALLO,02,586,CP B
KAOLACK,KAOLACK,ECOLE ELHADJI ABOU DIALLO,03,585,CM2 B
KAOLACK,KAOLACK,ECOLE ELHADJI ABOU DIALLO,04,585,CM1 B
KAOLACK,KAOLACK,ECOLE ELHADJI ABOU DIALLO,05,586,CE2 A
KAOLACK,KAOLACK,ECOLE ELHADJI SECK FAYE,01,594,SALLE INFORMATIQUE
KAOLACK,KAOLACK,ECOLE ELHADJI SECK FAYE,02,594,CI
KAOLACK,KAOLACK,ECOLE ELHADJI SECK FAYE,03,594,CE2 A
KAOLACK,KAOLACK,ECOLE ELHADJI SECK FAYE,04,594,CE2 B
KAOLACK,KAOLACK,ECOLE ELHADJI SECK FAYE,05,594,CM1 A
KAOLACK,KAOLACK,ECOLE ELHADJI SECK FAYE,06,594,CE1 A
KAOLACK,KAOLACK,ECOLE ELHADJI SECK FAYE,07,593,CE1 B
KAOLACK,KAOLACK,ECOLE ELHADJI SECK FAYE,08,594,CP B
KAOLACK,KAOLACK,ECOLE ELHADJI SECK FAYE,09,594,CP A
KAOLACK,KAOLACK,ECOLE GAWANE,01,518,CI A
KAOLACK,KAOLACK,ECOLE GAWANE,02,518,CI B
KAOLACK,KAOLACK,ECOLE GAWANE,03,518,CE2 A
KAOLACK,KAOLACK,ECOLE GAWANE,04,517,CM1 A
KAOLACK,KAOLACK,ECOLE GAWANE,05,518,CM1 B
KAOLACK,KAOLACK,ECOLE GUEDEL MBODJ,01,477,CM2
KAOLACK,KAOLACK,ECOLE GUEDEL MBODJ,02,476,CM1 A
KAOLACK,KAOLACK,ECOLE GUEDEL MBODJ,03,477,CM1 B
KAOLACK,KAOLACK,ECOLE GUEDEL MBODJ,04,476,SALLE PRESCOLAIRE
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,01,577,SALLE DE CLASSE CI A
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,02,577,SALLE DE CLASSE CI B
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,03,577,SALLE DE CLASSE CP A
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,04,577,SALLE DE CLASSE CP B
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,05,577,SALLE DE CLASSE CE1 A
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,06,577,SALLE DE CLASSE CE1 B
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,07,575,SALLE DE CLASSE CE2 A
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,08,577,SALLE DE CLASSE CE2 B
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,09,576,SALLE DE CLASSE CM1 A
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,10,577,SALLE DE CLASSE CM1 B
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,11,577,SALLE DE CLASSE CM2 A
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,12,577,SALLE DE CLASSE CM2 B
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,13,577,SALLE 1 INST.AFRICAIN
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,14,577,SALLE 2 INST.AFRICAIN
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,15,577,SALLE 3 INST.AFRICAIN
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,16,577,SALLE 4 INST.AFRICAIN
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,17,578,SALLE 5 INST.AFRICAIN
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,18,578,SALLE 6 INST.AFRICAIN
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,19,577,SALLE 7 INST.AFRICAIN
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,20,578,SALLE 8 INST.AFRICAIN
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,21,577,SALLE 9 INST.AFRICAIN
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,22,577,SALLE 10 INST.AFRICAIN
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,23,577,SALLE 11 INST.AFRICAIN
KAOLACK,KAOLACK,ECOLE IBRAHIMA NIASS,24,578,SALLE 12 INST.AFRICAIN
KAOLACK,KAOLACK,ECOLE IBRAHIMA SEYDOU NDAO,01,587,CM2 A
