DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
SARAYA,MEDINA BAFFE,GUEMEDJE,01,419,CLASSE CI
SARAYA,MEDINA BAFFE,MADINA BAFFE,01,368,CLASSE CM2
SARAYA,MEDINA BAFFE,MISSIRA DANTILA,01,377,CLASSE CM2
SARAYA,MEDINA BAFFE,NOUMOUFOUKHA,01,313,CLASSE CE2
SARAYA,MEDINA BAFFE,SAMECOUTA DANTILA,01,165,CLASSE CI
SARAYA,MEDINA BAFFE,SAROUDIA,01,308,CLASSE CM1
SARAYA,MEDINA BAFFE,SEKHOTO,01,187,CLASSE CM2
SARAYA,MEDINA BAFFE,TAMEGUEDIA,01,282,CLASSE CE2
SARAYA,MEDINA BAFFE,TOUBACOUTA,01,200,CLASSE CI
SARAYA,MEDINA BAFFE,WAMBA,01,173,CLASSE CP
