DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KOLDA,KOLDA,C E M 1,01,502,SALLE 8
KOLDA,KOLDA,C E M 1,02,507,SALLE 6
KOLDA,KOLDA,C E M 1,03,505,SALLE 15
KOLDA,KOLDA,C E M 1,04,502,SALLE 4
KOLDA,KOLDA,C E M 1,05,508,SALLE 2
KOLDA,KOLDA,C E M 1,06,508,SALLE 9
KOLDA,KOLDA,C.E.M2,01,123,SALLE 11
KOLDA,KOLDA,C.E.M2,02,125,SALLE 12
KOLDA,KOLDA,C.E.M2,03,124,SALLE 6
KOLDA,KOLDA,C.E.M2,04,124,SALLE 9
KOLDA,KOLDA,C E M SIKILO OUEST,01,411,SALLE  2 5E D
KOLDA,KOLDA,C E M SIKILO OUEST,02,409,SALLE 4 4E F
KOLDA,KOLDA,C E M SIKILO OUEST,03,411,SALLE 6 3E B
KOLDA,KOLDA,C E M SIKILO OUEST,04,413,SALLE 8 3E D
KOLDA,KOLDA,C E M SIKILO OUEST,05,412,SALLE N°23 OU 3 EG
KOLDA,KOLDA,C E M SIKILO OUEST,06,409,SALLE 25
KOLDA,KOLDA,C E M SIKILO OUEST,07,411,SALLE 27
KOLDA,KOLDA,C E M SIKILO OUEST,08,413,SALLE 29
KOLDA,KOLDA,C E M SIKILO OUEST,09,413,SALLE 16
KOLDA,KOLDA,DOUMASSOU PLATEAU,01,444,CLASSE CM1 B
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,01,545,CLASSE CM1B
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,02,544,CLASSE CE1B
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,03,543,CLASSE CPB
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,04,543,CLASSE CIB
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,05,546,CLASSE CE2A
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,06,542,CLASSE CM2A
KOLDA,KOLDA,ECOLE ABDOULAYE DIALLO,07,546,CLASSE CE1 A
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,01,563,SALLE 6 CM2A
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,02,563,SALLE 4 CE2A
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,03,565,CLASSE CPA
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,04,563,CLASSE CPB
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,05,562,SALLE DE CLASSE
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,06,562,ECOLE MOUSSA CAMARA CE2 B
KOLDA,KOLDA,ECOLE AMADOU MICHEL DIOP,07,563,ECOLE MOUSSA CAMARA CM2 B
KOLDA,KOLDA,ECOLE CHERIF MACKY AIDARA,01,482,CLASSE CM2B
KOLDA,KOLDA,ECOLE CHERIF MACKY AIDARA,02,481,CLASSE CPA
KOLDA,KOLDA,ECOLE ELEMENTAIRE SIKILO MEDINA CHERIF,01,424,CLASSE CM2 A
