DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
VELINGARA,DIAOBE KABENDOU,DIAOBE,01,582,CLASSE CM1 A
VELINGARA,DIAOBE KABENDOU,DIAOBE,02,580,CLASSE CM1 C
VELINGARA,DIAOBE KABENDOU,DIAOBE,03,578,CLASSE CM2 A
VELINGARA,DIAOBE KABENDOU,DIAOBE,04,582,CLASSE CE2 A
VELINGARA,DIAOBE KABENDOU,DIAOBE,05,577,CLASSE CI A
VELINGARA,DIAOBE KABENDOU,DIAOBE,06,573,CI B
VELINGARA,DIAOBE KABENDOU,DIAOBE,07,558,SALLE DE CLASSE
VELINGARA,DIAOBE KABENDOU,ECOLE KABENDOU 1,01,532,CLASSE CP A
VELINGARA,DIAOBE KABENDOU,ECOLE KABENDOU 1,02,535,CLASSE CE2
VELINGARA,DIAOBE KABENDOU,ECOLE KABENDOU 1,03,537,CLASSE CE1 A
VELINGARA,DIAOBE KABENDOU,ECOLE KABENDOU 1,04,373,CLASSE CM2 A
VELINGARA,DIAOBE KABENDOU,MAREWE SAMBA SABALY,01,454,ABRI PROVISOIRE
VELINGARA,DIAOBE KABENDOU,MEDINA SAMBA KANDE,01,578,CLASSE CP
VELINGARA,DIAOBE KABENDOU,MEDINA SAMBA KANDE,02,235,CLASSE CM2
VELINGARA,DIAOBE KABENDOU,SINTHIANG DIAOBE,01,563,CLASSE CI
VELINGARA,DIAOBE KABENDOU,SINTHIANG DIAOBE,02,563,CLASSE CM2
VELINGARA,DIAOBE KABENDOU,SINTHIANG DIAOBE,03,564,CM I
VELINGARA,DIAOBE KABENDOU,SOUTOURE,01,552,CLASSE CM2 A
VELINGARA,DIAOBE KABENDOU,SOUTOURE,02,111,CLASSE CM1 A
