DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
VELINGARA,KOUNKANE,KOUNKANE 1,01,583,CLASSE CE1
VELINGARA,KOUNKANE,KOUNKANE 1,02,583,CLASSE CE2
VELINGARA,KOUNKANE,KOUNKANE 1,03,585,CLASSE CM1
VELINGARA,KOUNKANE,KOUNKANE 1,04,583,CLASSE CM2
VELINGARA,KOUNKANE,KOUNKANE 2,01,574,CLASSE CE2
VELINGARA,KOUNKANE,KOUNKANE 2,02,573,CLASSE CE1
VELINGARA,KOUNKANE,KOUNKANE 2,03,573,CLASSE CM2
VELINGARA,KOUNKANE,KOUNKANE 2,04,119,CLASSE CM1 B
VELINGARA,KOUNKANE,KOUNKANE 3,01,531,CLASSE CE2
VELINGARA,KOUNKANE,KOUNKANE 3,02,541,CLASSE CM1
VELINGARA,KOUNKANE,KOUNKANE 3,03,449,CLASSE CM2
VELINGARA,KOUNKANE,NDORNA BOUNDA,01,322,CLASSE CM2
