DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
VELINGARA,SINTHIANG KOUNDARA,BOYNGUEL,01,312,SALLE DE CLASSE CP
VELINGARA,SINTHIANG KOUNDARA,BOYNGUEL,02,314,SALLE DE CLASSE
VELINGARA,SINTHIANG KOUNDARA,COUMBADIOUMA,01,183,SALLE DE CLASSE CM 1
VELINGARA,SINTHIANG KOUNDARA,COUMBADIOUMA,02,182,SALLE DE CLASSE CE 2
VELINGARA,SINTHIANG KOUNDARA,DAROU SALAM MANDA,01,489,CLASSE CM2
VELINGARA,SINTHIANG KOUNDARA,DAROU SALAM MANDA,02,491,CLASSE CM1
VELINGARA,SINTHIANG KOUNDARA,DYABOUGOU COLI,01,218,CLASSE CE1
VELINGARA,SINTHIANG KOUNDARA,FOUDOU,01,259,SALLE DE CLASSE CI
VELINGARA,SINTHIANG KOUNDARA,GAMBISSARA,01,412,CLASSE CP
VELINGARA,SINTHIANG KOUNDARA,HAMDALLAYE MALANG,01,252,CLASSE CM2
VELINGARA,SINTHIANG KOUNDARA,HERAMACONO 2,01,197,SALLE DE CLASSE N°1
VELINGARA,SINTHIANG KOUNDARA,KOURBAMBEY,01,421,SALLE DE CLASSE CP
VELINGARA,SINTHIANG KOUNDARA,MALEA,01,339,SALLE DE CLASSE CP
VELINGARA,SINTHIANG KOUNDARA,MANDA VILLAGE,01,206,ABRI PROVISOIRE
VELINGARA,SINTHIANG KOUNDARA,MBALLOCOUNDA,01,218,SALLE DE CLASSE
VELINGARA,SINTHIANG KOUNDARA,MEDINA HAFIA,01,330,SALLE DE CLASSE
VELINGARA,SINTHIANG KOUNDARA,RAWDATOU GOULOUMBOU,01,199,SALLE DE CLASSE
VELINGARA,SINTHIANG KOUNDARA,SINTHIANG KOUNDARA,01,560,SALLE DE CLASSE CM 2
VELINGARA,SINTHIANG KOUNDARA,SINTHIANG KOUNDARA,02,545,SALLE DE CLASSE CM 1
VELINGARA,SINTHIANG KOUNDARA,SINTHIANG KOUNDARA,03,181,SALLE DE CLASSE CE2
VELINGARA,SINTHIANG KOUNDARA,SINTHIANG MAMADOU EGUE,01,366,CLASSE CP
VELINGARA,SINTHIANG KOUNDARA,SINTHIANG SAMBA FOULA,01,327,SALLE DE CLASSE CE 2
VELINGARA,SINTHIANG KOUNDARA,TIMIN DALLAH,01,213,SALLE DE CLASSE CM 1
VELINGARA,SINTHIANG KOUNDARA,TIMIN DALLAH,02,213,SALLE DE CLASSE CE 2
