DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,01,570,SALLE 14
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,02,556,SALLE 13
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,03,563,SALLE 12
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,04,566,SALLE 11
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,05,564,SALLE 1
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,06,562,SALLE 2
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,07,567,SALLE 03
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,08,566,SALLE 04
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,09,566,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,10,565,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,11,568,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,12,564,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,C.E.S. EST,13,419,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE 23,01,600,CLASSE CM1 A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE 23,02,600,CLASSE CM2 A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE 23,03,600,CLASSE CE2 B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE 23,04,600,CLASSE CI A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE 23,05,600,CLASSE CP A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE 23,06,600,CLASSE CE1 A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE 23,07,600,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE 23,08,600,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE 23,09,217,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,01,588,CLASSE CE2 A ECOLE A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,02,591,CLASSE CE2 B ECOLE A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,03,594,CLASSE CM1 A ECOLE A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,04,584,CLASSE CM1 B ECOLE A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,05,589,CLASSE CM2 A ECOLE A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,06,577,CLASSE CM2 B ECOLE A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,07,591,CLASSE CE1 B ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,08,586,CLASSE CE1 A ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,09,582,CLASSE CP B ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,10,587,CLASSE CP A ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,11,587,CLASSE CI B ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,12,585,CLASSE CI A  ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,13,591,CLASSE CM2 B ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,14,584,CLASSE CM1 A ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,15,586,CLASSE CM2A ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,16,581,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,17,591,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,18,585,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,19,583,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE DAROUKHANE,20,390,SALLE DE CLASSE
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE KAWSSARA FALL,01,600,CLASSE CE2 B ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE KAWSSARA FALL,02,591,CLASSE CM2 A ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE KAWSSARA FALL,03,595,CLASSE CE1 B ECOLE B
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE KAWSSARA FALL,04,600,CLASSE CM2 A ECOLE A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE KAWSSARA FALL,05,600,CLASSE CM1 A ECOLE A
GUEDIAWAYE,WAKHINANE NIMZAT,ECOLE KAWSSARA FALL,06,595,CLASSE CP A ECOLE A
