DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEUR MASSAR,KEUR MASSAR NORD,CITE GENDARMERIE,01,490,ECOLE ELEMENTAIRE S 1
KEUR MASSAR,KEUR MASSAR NORD,CITE GENDARMERIE,02,481,ECOLE ELEMENTAIRE S 2
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,01,581,CLASSE CP A
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,02,587,CLASSE CPC
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,03,582,CLASSE CIA
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,04,578,CLASSE CIB
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,05,586,CLASSE CIC
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,06,587,CALSSE CE2 C
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,07,584,CLASSE CM1A
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,08,585,CLASSE CM1B
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,09,586,CLASSE CM1C
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,10,584,CLASSE CE2 B
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,11,585,CLASSE CE2A
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,12,588,CLASSE CE1C
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,13,585,CLASSE CE1 B
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,14,587,CLASSE CE1 A
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,15,574,CLASSE CP B
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,16,590,CLASSE CM2 A
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,17,585,CLASSE CM2 B
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,18,583,CLASSE CM2 C
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,19,595,SALLE BIBLIOTHEQUE
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,20,587,E P. COUMBA MBACKE FAYE S 1
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,21,584,E P. COUMBA MBACKE FAYE S 2
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,22,588,E P. COUMBA MBACKE FAYE S 3
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,23,578,E P. COUMBA MBACKE FAYE S 4
KEUR MASSAR,KEUR MASSAR NORD,ECOLE DE BOUNE,24,436,E.P. COUMBA MBACKE FAYE S 5
KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,01,593,SALLE 15 CM2 A
KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,02,600,SALLE 14 CM1 B
KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,03,600,SALLE 13 CM1 A
KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,04,598,SALLE 12 CP C
KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,05,599,SALLE 11 CP B
KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,06,596,SALLE 10 CP A
KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,07,599,SALLE 9 CE2 B
KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,08,600,SALLE 8 CE2 A
KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,09,598,SALLE 7 CI C
KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,10,594,SALLE 6 CI B
KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,11,591,SALLE CE1 C
KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,12,597,CLASSE CI A
KEUR MASSAR,KEUR MASSAR NORD,ECOLE MASSAR DIEYE,13,598,CLASSE CE2 C
