DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,01,589,CLASSE CM2
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,02,589,CLASSE CM1
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,03,589,CLASSE CI B
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,04,589,CLASSE CI A
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,05,589,CLASSE CE2
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,06,589,CLASSE CE1 A
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,07,589,CLASSE CP A
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,08,589,CLASSE CP B
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,09,589,SALLE 1DAARA MALIKA
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,10,589,DAARA MALIKA SALLE 2
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,11,589,DAARA MALIKA SALLE 3
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,12,588,DAARA MALIKA SALLE 4
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,13,589,DAARA MALIKA SALLE 5
KEUR MASSAR,MALIKA,ECOLE MALIKA MONTAGNE,14,150,DAARA MALIKA SALLE 6
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,01,596,CLASSE CI
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,02,595,CLASSE CP
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,03,600,CLASSE CM1
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,04,595,CLASSE CE 1
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,05,596,CLASSE CE2 A
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,06,597,CLASSE CE 2 B
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,07,600,CLASSE 5EM COLLEGE
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,08,593,CLASSE 6EM COLLEGE
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,09,600,CLASSE 2EM COLLEGE
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,10,596,CLASSE 4EM COLLEGE
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,11,596,ECOLE CITE SONATEL S1
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,12,593,ECOLE CITE SONATEL S 2
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,13,599,ECOLE CITE SONATEL S 3
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,14,594,ECOLE CITE SONATEL S 4
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,15,598,ECOLE CITE SONATEL S 5
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,16,591,ECOLE CITE SONATEL S 6
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,17,594,ECOLE CITE SONATEL S 7
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,18,593,ECOLE CITE SONATEL S 8
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,19,597,CEM CITE SONATEL S 11
KEUR MASSAR,MALIKA,ECOLE PRIVEE SANKA,20,104,CEM CITE SONATEL S 12
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,01,594,CLASSE CP B
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,02,590,CLASSE CI A
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,03,600,CLASSE CI B
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,04,588,CLASSE CM2 A
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,05,594,CLASSE CM2 B
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,06,591,CLASSE CM1 A
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,07,600,CLASSE CM1 B
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,08,600,CLASSE CE2 A
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,09,593,CLASSE CPA
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,10,595,CLASSE CE 2 B
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,11,593,CLASSE CE 1 A
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,12,597,CLASSE CE 1 B
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,13,600,CLASSE CP C
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,14,600,CLASSE CI C
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,15,586,SALLE 15
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,16,592,SALLE 16
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,17,597,ABRI PROVISOIRE
KEUR MASSAR,MALIKA,ECOLE SEYDI ANTA GADIAGA,18,130,E. E. MALIKA PLAGE SALLE 1
