DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PIKINE,PIKINE NORD,ECOLE 5 B,01,550,CLASSE CE1 B
PIKINE,PIKINE NORD,ECOLE 5 B,02,550,CLASSE CP B
PIKINE,PIKINE NORD,ECOLE 5 B,03,550,CLASSE CP A
PIKINE,PIKINE NORD,ECOLE 5 B,04,550,CLASSE CI A
PIKINE,PIKINE NORD,ECOLE 5 B,05,405,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE 9 A,01,570,CLASSE CI A
PIKINE,PIKINE NORD,ECOLE 9 A,02,572,CLASSE CP A
PIKINE,PIKINE NORD,ECOLE 9 A,03,574,CLASSE CE1 A
PIKINE,PIKINE NORD,ECOLE 9 A,04,574,CLASSE CE2 A
PIKINE,PIKINE NORD,ECOLE 9 A,05,579,CLASSE CM1 A
PIKINE,PIKINE NORD,ECOLE 9 A,06,573,CLASSE CM2 A
PIKINE,PIKINE NORD,ECOLE 9 A,07,574,CLASSE CM2 B
PIKINE,PIKINE NORD,ECOLE 9 A,08,577,CLASSE CI B
PIKINE,PIKINE NORD,ECOLE 9 A,09,569,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE 9 A,10,281,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),01,576,CLASSECP A
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),02,576,CLASSE CE1 A
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),03,582,CLASSE CE2 A
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),04,576,CLASSE CM1 A
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),05,582,CLASSE CP B
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),06,582,CLASSECM2 A
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),07,575,CLASSE CM2 B
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),08,576,CLASSE CI B
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),09,579,CLASSE CM2 A
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),10,578,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),11,572,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE DIACKSAO (EX PIKINE 5),12,230,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE ELIMANE NDIAYE,01,574,CLASSE CI B
PIKINE,PIKINE NORD,ECOLE ELIMANE NDIAYE,02,572,CLASSE CM1 A
PIKINE,PIKINE NORD,ECOLE ELIMANE NDIAYE,03,572,CLASSE CM2 A
PIKINE,PIKINE NORD,ECOLE ELIMANE NDIAYE,04,573,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE ELIMANE NDIAYE,05,567,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE MAME YELI BADIANE,01,549,CLASSE 5EM E
PIKINE,PIKINE NORD,ECOLE MAME YELI BADIANE,02,542,CLASSE 5EM A
PIKINE,PIKINE NORD,ECOLE MAME YELI BADIANE,03,561,CLASSE 6EM A
PIKINE,PIKINE NORD,ECOLE MAME YELI BADIANE,04,543,CLASSE 6EM C
PIKINE,PIKINE NORD,ECOLE MAME YELI BADIANE,05,519,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,01,594,CLASSE CP A
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,02,595,CLASSE CI A
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,03,594,CLASSE CE1 A
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,04,591,CLASSE CE2 B
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,05,594,CLASSE CM1 A
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,06,594,CLASSE CM1 B
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,07,592,CLASSE CM2 A
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,08,593,CLASSE CM2 B
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,09,592,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,10,591,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,11,597,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE PIKINE 7 A,12,594,SALLE DE CLASSE
PIKINE,PIKINE NORD,ECOLE PRIVEE SOKHNA ADAMA GUEYE,01,532,ECOLE SAKOU XAM XAM
PIKINE,PIKINE NORD,ECOLE PRIVEE SOKHNA ADAMA GUEYE,02,528,ECOLE SAKOU XAM XAM
PIKINE,PIKINE NORD,ECOLE PRIVEE SOKHNA ADAMA GUEYE,03,530,ECOLE SAKOU XAM XAM
PIKINE,PIKINE NORD,ECOLE PRIVEE SOKHNA ADAMA GUEYE,04,464,ECOLE SAKOU XAM XAM
