DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,01,569,SALLE 3
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,02,583,SALLE 2
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,03,575,SALLE 6
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,04,580,SALLE 7
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,05,576,SALLE 8
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,06,583,SALLE 9
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,07,581,SALLE 10
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,08,586,SALLE 11
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,09,586,SALLE 14
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,10,521,SALLE DE CLASSE
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,11,524,SALLE DE CLASSE
PIKINE,PIKINE OUEST,CEM CHERIF TIDIANI,12,526,SALLE DE CLASSE
PIKINE,PIKINE OUEST,ECOLE 2 B,01,186,CLASSE CI A
PIKINE,PIKINE OUEST,ECOLE 2 B,02,190,CLASSE CP B
PIKINE,PIKINE OUEST,ECOLE 2 B,03,192,CLASSE CE 1 A
PIKINE,PIKINE OUEST,ECOLE BAWORE SECK,01,585,CLASSE C I
PIKINE,PIKINE OUEST,ECOLE BAWORE SECK,02,584,CLASSE CP
PIKINE,PIKINE OUEST,ECOLE BAWORE SECK,03,589,CLASSE CE 1
PIKINE,PIKINE OUEST,ECOLE BAWORE SECK,04,585,CLASSE CE 2
PIKINE,PIKINE OUEST,ECOLE BAWORE SECK,05,586,CLASSE CM 1
PIKINE,PIKINE OUEST,ECOLE BAWORE SECK,06,579,SALLE DE CLASSE
PIKINE,PIKINE OUEST,ECOLE BAWORE SECK,07,588,SALLE DE CLASSE
PIKINE,PIKINE OUEST,ECOLE DAROU PIKINE,01,385,CLASSE CI A
PIKINE,PIKINE OUEST,ECOLE DAROU PIKINE,02,384,CLASSE CP
PIKINE,PIKINE OUEST,ECOLE DAROU PIKINE,03,384,CLASSE CE 1 A
PIKINE,PIKINE OUEST,ECOLE DAROU PIKINE,04,393,CLASSE CE2 A
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,01,572,CI D
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,02,575,CLASSE CI A
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,03,573,CLASSE CI B
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,04,573,CLASSE CI C
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,05,567,CLASSE CP A
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,06,575,CLASSE CP B
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,07,577,CLASSE CE 1 A
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,08,562,CLASSE CE1 C
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,09,581,CLASSE CM 1 B
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,10,572,SALLE DE CLASSE
PIKINE,PIKINE OUEST,ECOLE EL HADJ IBA SENE,11,567,SALLE DE CLASSE
PIKINE,PIKINE OUEST,ECOLE KABIROU MBODJI,01,586,CM2 C
PIKINE,PIKINE OUEST,ECOLE KABIROU MBODJI,02,587,CI B
PIKINE,PIKINE OUEST,ECOLE KABIROU MBODJI,03,585,CM1 B
