DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RUFISQUE,RUFISQUE EST,BLOC SCIENTIFIQUE,01,487,SALLE D1
RUFISQUE,RUFISQUE EST,BLOC SCIENTIFIQUE,02,484,SALLE D4
RUFISQUE,RUFISQUE EST,BLOC SCIENTIFIQUE,03,495,SALLE D5
RUFISQUE,RUFISQUE EST,BLOC SCIENTIFIQUE,04,491,SALLE D3
RUFISQUE,RUFISQUE EST,BLOC SCIENTIFIQUE,05,488,SALLE D2
RUFISQUE,RUFISQUE EST,ECOLE EH MAMOUR DIOP (SANTHIABA),01,549,CLASSE CIA
RUFISQUE,RUFISQUE EST,ECOLE EH MAMOUR DIOP (SANTHIABA),02,548,CLASSE CM1A
RUFISQUE,RUFISQUE EST,ECOLE EH MAMOUR DIOP (SANTHIABA),03,548,CLASSE CM2A
RUFISQUE,RUFISQUE EST,ECOLE EH MAMOUR DIOP (SANTHIABA),04,548,CLASSE CE2A
RUFISQUE,RUFISQUE EST,ECOLE EH MAMOUR DIOP (SANTHIABA),05,453,CLASSE CPA
RUFISQUE,RUFISQUE EST,ECOLE ELEMENTAIRE COLOBANE,01,559,CLASSE CIA
RUFISQUE,RUFISQUE EST,ECOLE ELEMENTAIRE COLOBANE,02,555,CLASSE CM2A
RUFISQUE,RUFISQUE EST,ECOLE ELEMENTAIRE COLOBANE,03,564,CLASSE CM1A
RUFISQUE,RUFISQUE EST,ECOLE ELEMENTAIRE COLOBANE,04,559,CLASSE CE1 A
RUFISQUE,RUFISQUE EST,ECOLE ELEMENTAIRE COLOBANE,05,560,CLASSE CE2A
RUFISQUE,RUFISQUE EST,ECOLE ELEMENTAIRE COLOBANE,06,564,CLASSE CPA
RUFISQUE,RUFISQUE EST,ECOLE ELEMENTAIRE COLOBANE,07,562,CLASSE CIB
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,01,597,CLASSE CIA
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,02,597,CLASSE CPA
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,03,597,CLASSE CE1A
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,04,597,CLASSE CE2A
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,05,597,CLASSE CM1A
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,06,597,CLASSE CM2A
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,07,597,CLASSE CM2B
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,08,597,CLASSE CI B
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,09,597,CLASSE CE 1 B
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,10,596,CLASSE CE2 B
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,11,596,CLASSE CPB
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,12,597,CLASSE CM1 B
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,13,597,CLASSE CM2 A BIS
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,14,597,CLASSE CM2B BIS
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,15,597,CLASSE CE2A BIS
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,16,597,CLASSE CE2B BIS
RUFISQUE,RUFISQUE EST,ECOLE GOUYE MOURIDES,17,229,CLASSE CI B BIS
RUFISQUE,RUFISQUE EST,ECOLE MATAR SECK,01,550,CLASSE CIA
RUFISQUE,RUFISQUE EST,ECOLE MATAR SECK,02,548,CLASSE CPA
RUFISQUE,RUFISQUE EST,ECOLE MATAR SECK,03,548,CLASSE CE1B
RUFISQUE,RUFISQUE EST,ECOLE MATAR SECK,04,558,CLASSE CM2B
RUFISQUE,RUFISQUE EST,ECOLE MATAR SECK,05,474,SALLE DE CLASSE
RUFISQUE,RUFISQUE EST,ECOLE MERINA,01,571,CLASSE CI
RUFISQUE,RUFISQUE EST,ECOLE MERINA,02,580,CLASSE CP
RUFISQUE,RUFISQUE EST,ECOLE MERINA,03,580,CLASSE CM2
RUFISQUE,RUFISQUE EST,ECOLE MERINA,04,576,CLASSE CE2
RUFISQUE,RUFISQUE EST,ECOLE MERINA,05,572,CLASSE CM1
RUFISQUE,RUFISQUE EST,ECOLE MERINA,06,583,CLASSE CE1
RUFISQUE,RUFISQUE EST,ECOLE MERINA,07,581,ABRI PROVISOIRE
RUFISQUE,RUFISQUE EST,ECOLE MERINA,08,585,ABRI PROVISOIRE
RUFISQUE,RUFISQUE EST,ECOLE MERINA,09,559,ABRI PROVISOIRE
RUFISQUE,RUFISQUE EST,ECOLE MERINA,10,379,ABRI PROVISOIRE
RUFISQUE,RUFISQUE EST,ECOLE MERINA 1 (ARAFAT),01,562,CLASSE CIA
RUFISQUE,RUFISQUE EST,ECOLE MERINA 1 (ARAFAT),02,554,CLASSE CPA
RUFISQUE,RUFISQUE EST,ECOLE MERINA 1 (ARAFAT),03,558,CLASSE CE1A
RUFISQUE,RUFISQUE EST,ECOLE MERINA 1 (ARAFAT),04,557,CLASSE CE2A
RUFISQUE,RUFISQUE EST,ECOLE MERINA 1 (ARAFAT),05,561,CLASSE CM2A
RUFISQUE,RUFISQUE EST,ECOLE MERINA 1 (ARAFAT),06,561,CLASSE CM1A
RUFISQUE,RUFISQUE EST,ECOLE MERINA 1 (ARAFAT),07,556,CLASSE CM2B
RUFISQUE,RUFISQUE EST,ECOLE MERINA 1 (ARAFAT),08,556,CLASSE CE2B
RUFISQUE,RUFISQUE EST,ECOLE MERINA 1 (ARAFAT),09,554,CLASSE CM1 B
RUFISQUE,RUFISQUE EST,ECOLE MERINA 1 (ARAFAT),10,555,CLASSE CIB
RUFISQUE,RUFISQUE EST,ECOLE MERINA 1 (ARAFAT),11,558,SALLE DE CLASSE CP B
RUFISQUE,RUFISQUE EST,ECOLE MERINA 1 (ARAFAT),12,555,SALLE DE CLASSE CE1 B
RUFISQUE,RUFISQUE EST,ECOLE MERINA 1 (ARAFAT),13,556,CEM CAMP MARCHAND SALLE DE CLASSE
RUFISQUE,RUFISQUE EST,ECOLE MERINA 1 (ARAFAT),14,556,CEM CAMP MARCHAND SALLE DE CLASSE
RUFISQUE,RUFISQUE EST,ECOLE PRIMAIRE CAMP MARCHAND,01,590,CI A
RUFISQUE,RUFISQUE EST,ECOLE PRIMAIRE CAMP MARCHAND,02,589,CP A
RUFISQUE,RUFISQUE EST,ECOLE PRIMAIRE CAMP MARCHAND,03,589,CE1 A
RUFISQUE,RUFISQUE EST,ECOLE PRIMAIRE CAMP MARCHAND,04,589,CE2 A
RUFISQUE,RUFISQUE EST,ECOLE PRIMAIRE CAMP MARCHAND,05,589,CM1 A
RUFISQUE,RUFISQUE EST,ECOLE PRIMAIRE CAMP MARCHAND,06,589,CM2 A
RUFISQUE,RUFISQUE EST,ECOLE PRIMAIRE CAMP MARCHAND,07,589,CM2 B
RUFISQUE,RUFISQUE EST,ECOLE PRIMAIRE CAMP MARCHAND,08,589,CM1 B
RUFISQUE,RUFISQUE EST,ECOLE PRIMAIRE CAMP MARCHAND,09,551,CE2 B
RUFISQUE,RUFISQUE EST,ECOLE PRIMAIRE CAMP MARCHAND,10,404,CLASSE CP B
RUFISQUE,RUFISQUE EST,ECOLE TAFSIR NIAW FAYE (DIOKOUL 2),01,492,CLASSE CPB
RUFISQUE,RUFISQUE EST,ECOLE TAFSIR NIAW FAYE (DIOKOUL 2),02,497,CLASSE CPA
RUFISQUE,RUFISQUE EST,ECOLE TAFSIR NIAW FAYE (DIOKOUL 2),03,491,CLASSE CE1A
RUFISQUE,RUFISQUE EST,ECOLE TAFSIR NIAW FAYE (DIOKOUL 2),04,501,CLASSE CI A
RUFISQUE,RUFISQUE EST,ECOLE THIAWLENE,01,432,CLASSE CIA
RUFISQUE,RUFISQUE EST,ECOLE THIAWLENE,02,431,CLASSE CPA
RUFISQUE,RUFISQUE EST,ECOLE THIAWLENE,03,430,CLASSE CE2B
RUFISQUE,RUFISQUE EST,ECOLE THIAWLENE,04,432,CLASSE CM1B
