DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
RUFISQUE,RUFISQUE OUEST,CES MAURICE GUEYE,01,589,SALLE 1
RUFISQUE,RUFISQUE OUEST,CES MAURICE GUEYE,02,589,SALLE 2
RUFISQUE,RUFISQUE OUEST,CES MAURICE GUEYE,03,589,SALLE 3
RUFISQUE,RUFISQUE OUEST,CES MAURICE GUEYE,04,589,SALLE 4
RUFISQUE,RUFISQUE OUEST,CES MAURICE GUEYE,05,590,SALLE 5
RUFISQUE,RUFISQUE OUEST,CES MAURICE GUEYE,06,590,SALLE 6
RUFISQUE,RUFISQUE OUEST,CES MAURICE GUEYE,07,590,SALLE 7
RUFISQUE,RUFISQUE OUEST,CES MAURICE GUEYE,08,590,SALLE 8
RUFISQUE,RUFISQUE OUEST,CES MAURICE GUEYE,09,334,SALLE 9
RUFISQUE,RUFISQUE OUEST,ECOLE ALIOUNE DIA,01,577,CI A
RUFISQUE,RUFISQUE OUEST,ECOLE ALIOUNE DIA,02,576,CI B
RUFISQUE,RUFISQUE OUEST,ECOLE ALIOUNE DIA,03,576,CP A
RUFISQUE,RUFISQUE OUEST,ECOLE ALIOUNE DIA,04,574,CP B
RUFISQUE,RUFISQUE OUEST,ECOLE ALIOUNE DIA,05,576,CE1 A
RUFISQUE,RUFISQUE OUEST,ECOLE ALIOUNE DIA,06,573,CE1 B
RUFISQUE,RUFISQUE OUEST,ECOLE CHARLEMAGNE,01,566,CLASSE CM1 A
RUFISQUE,RUFISQUE OUEST,ECOLE CHARLEMAGNE,02,549,CLASSE CM1 B
RUFISQUE,RUFISQUE OUEST,ECOLE CHARLEMAGNE,03,535,CLASSE CI
RUFISQUE,RUFISQUE OUEST,ECOLE CHARLEMAGNE,04,543,CLASSE CP
RUFISQUE,RUFISQUE OUEST,ECOLE CHARLEMAGNE,05,228,CLASSE CE2 B
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,01,599,SALLE
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,02,598,CE1 B
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,03,596,CP B
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,04,600,CI B
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,05,600,CE1 A
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,06,597,CP A
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,07,591,CI A
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,08,599,CM2 A
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,09,597,CM1 A
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,10,600,CE2 A
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,11,595,CM2 B
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,12,600,CM1 B
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,13,585,CE2 B
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,14,587,ABRI PROVISOIRE
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,15,594,ABRI PROVISOIRE
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,16,597,ABRI PROVISOIRE
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,17,494,ABRI PROVISOIRE
RUFISQUE,RUFISQUE OUEST,ECOLE CITE IMPRIMERIE,18,493,ABRI PROVISOIRE
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),01,599,CLASSE CI A
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),02,597,CLASSE CP A
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),03,598,CLASSE CE1  A
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),04,594,CLASSE CE2 B
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),05,596,CLASSE CM1 A
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),06,593,CLASSE CM1 B
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),07,600,CLASSE CM2 A
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),08,593,CLASSE CM 2 B
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),09,592,C I B
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),10,599,C P B
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),11,593,CLASSE CE1 B
RUFISQUE,RUFISQUE OUEST,ECOLE EH MOUSSA DIALLO (KHER),12,129,CLASSE CE2 A
RUFISQUE,RUFISQUE OUEST,ECOLE MBAYE NDIR (GUENDEL),01,575,CLASSE CP B
RUFISQUE,RUFISQUE OUEST,ECOLE MBAYE NDIR (GUENDEL),02,575,CLASSE CM 1 A
RUFISQUE,RUFISQUE OUEST,ECOLE MBAYE NDIR (GUENDEL),03,572,CLASSE CI A
RUFISQUE,RUFISQUE OUEST,ECOLE MBAYE NDIR (GUENDEL),04,576,CLASSE CE1 A
RUFISQUE,RUFISQUE OUEST,ECOLE OUSSEYNOU DIAGNE (THIOKHO),01,587,CLASSE CI
RUFISQUE,RUFISQUE OUEST,ECOLE OUSSEYNOU DIAGNE (THIOKHO),02,587,CLASSE CP
RUFISQUE,RUFISQUE OUEST,ECOLE OUSSEYNOU DIAGNE (THIOKHO),03,588,CLASSE CE 1
RUFISQUE,RUFISQUE OUEST,ECOLE OUSSEYNOU DIAGNE (THIOKHO),04,587,CLASSE CM1 A
RUFISQUE,RUFISQUE OUEST,ECOLE OUSSEYNOU DIAGNE (THIOKHO),05,587,CLASSE CM1 B
RUFISQUE,RUFISQUE OUEST,ECOLE OUSSEYNOU DIAGNE (THIOKHO),06,584,CLASSE CM2
RUFISQUE,RUFISQUE OUEST,ECOLE OUSSEYNOU DIAGNE (THIOKHO),07,583,CLASSE CE2
RUFISQUE,RUFISQUE OUEST,ECOLE OUSSEYNOU DIAGNE (THIOKHO),08,587,MAURICE GUEYE SALLE DE CLASSE
