DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAMBEY,LAMBAYE,KALOME,01,139,ABRI PROVISOIRE
BAMBEY,LAMBAYE,KEUR SAMBA GAYE,01,479,ABRI PROVISOIRE
BAMBEY,LAMBAYE,KEUR SEGUE NDIAYE,01,541,ABRI PROVISOIRE
BAMBEY,LAMBAYE,LAMBAYE ESCALE,01,476,ECOLE LAMBAYE SALLE 1
BAMBEY,LAMBAYE,LAMBAYE ESCALE,02,474,ECOLE LAMBAYE SALLE 2
BAMBEY,LAMBAYE,MAKA TASSAR,01,281,ECOLE TASSAR SALLE 1
BAMBEY,LAMBAYE,MBADIANE GORA,01,337,ABRI PROVISOIRE
BAMBEY,LAMBAYE,MBADIANE SAMBA AWA,01,406,ECOLE MBADIANE SAMBA AWA SAL 1
BAMBEY,LAMBAYE,MBALMY,01,452,ECOLE ELEMENTAIRE MBALMY SALLE 1
BAMBEY,LAMBAYE,MBALMY,02,453,ECOLE ELEMENTAIRE MBALMY SALLE 2
BAMBEY,LAMBAYE,MBOTAL LAMBAYE,01,433,CEM LAMBAYE SALLE 1
BAMBEY,LAMBAYE,MBOUBANE,01,333,ECOLE MBOUBANE SALLE 1
BAMBEY,LAMBAYE,MBOUSSO,01,570,DAARA MODERNE MBOUSSO SALLE 1
BAMBEY,LAMBAYE,MBOUSSO,02,48,DAARA MODERNE MBOUSSO SALLE 2
BAMBEY,LAMBAYE,MEKHE,01,583,ECOLE MEKHE SALLE 1
BAMBEY,LAMBAYE,MEKHE,02,583,ECOLE MEKHE SALLE 2
BAMBEY,LAMBAYE,MEKHE,03,101,ECOLE MEKHE SALLE 3
BAMBEY,LAMBAYE,NDIARGA LAMBAYE,01,453,ECOLE NDIARGA LAMBAYE SALLE 1
BAMBEY,LAMBAYE,NDONDOL CODOU NGOYE,01,515,ECOLE NDONDOL CODOU NGOYE SL 1
BAMBEY,LAMBAYE,NGANDIAL,01,319,ABRI PROVISOIRE
BAMBEY,LAMBAYE,NIAKHAPPE,01,282,ABRI PROVISOIRE
BAMBEY,LAMBAYE,PARBA LAMBAYE,01,336,ABRI PROVISOIRE
BAMBEY,LAMBAYE,PARBA LAMBAYE,02,338,ABRI PROVISOIRE N° 2
BAMBEY,LAMBAYE,PEYE LAMBAYE,01,503,ECOLE LAMBAYE SALLE 8
BAMBEY,LAMBAYE,PEYE LAMBAYE,02,500,ECOLE LAMBAYE SALLE 9
BAMBEY,LAMBAYE,POUGNAR,01,485,ABRI PROVISOIRE
BAMBEY,LAMBAYE,Lieu de vote,Bureau,Electeurs,
BAMBEY,LAMBAYE,THIEPPE NDIAWRIGNE,01,405,ECOLE THIEPPE NDIAWRIGNE SAL 1
BAMBEY,LAMBAYE,THIEPPE PANATHIE,01,201,ECOLE THIEPPE PANATHIE SAL 1
BAMBEY,LAMBAYE,THIEPPE PARBA,01,364,ECOLE THIEPPE NDIAWRIGNE SAL 2
BAMBEY,LAMBAYE,TOUGOUTHIE,01,249,ABRI PROVISOIRE
