DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BAMBEY,THIAKHAR,DARA,01,419,ABRI PROVISOIRE
BAMBEY,THIAKHAR,DAROU SALAM,01,190,ABRI PROVISOIRE
BAMBEY,THIAKHAR,DOMBE 1,01,343,ABRI PROVISOIRE
BAMBEY,THIAKHAR,GALLO PEYE,01,220,ABRI PROVISOIRE
BAMBEY,THIAKHAR,KADIAO,01,118,ECOLE ELEMENTAIRE KADIAO CLASSE CI
BAMBEY,THIAKHAR,KEUR MAFATIME,01,178,ABRI PROVISOIRE
BAMBEY,THIAKHAR,KEUR SAER,01,392,CLASSE CM 1
BAMBEY,THIAKHAR,KHOLKHOTORANE,01,376,ABRI PRVISOIRE
BAMBEY,THIAKHAR,MBADIANEME,01,276,ABRI PROVISOIRE
BAMBEY,THIAKHAR,MBADIE DIOUFFENE,01,210,ABRI PROVISOIRE
BAMBEY,THIAKHAR,MBOYENE,01,490,CLASSE CE2
BAMBEY,THIAKHAR,MBOYENE,02,491,CLASSE CM 1
BAMBEY,THIAKHAR,NDAKH,01,433,CLASSE CE2
BAMBEY,THIAKHAR,NDIAGNE BOUMY,01,419,CLASSE CM1
BAMBEY,THIAKHAR,NDIAGUENE DIOREL,01,275,ABRI PROVISOIRE
BAMBEY,THIAKHAR,NDIAKANE,01,577,ABRI PROVISOIRE
BAMBEY,THIAKHAR,NDIAKANE,02,117,ABRI PROVISOIRE
BAMBEY,THIAKHAR,NDIMB NDADENE,01,92,ABRI PROVISOIRE
BAMBEY,THIAKHAR,NDIOBENE NDADENE,01,302,ABRI PROVISOIRE
BAMBEY,THIAKHAR,SANDIARA,01,229,ABRI PROVISOIRE
BAMBEY,THIAKHAR,SEO LEFF,01,534,CLASSE CP
BAMBEY,THIAKHAR,SOKANO,01,331,CLASSE CE2
BAMBEY,THIAKHAR,THIAKHAR,01,478,CLASSE CM1
BAMBEY,THIAKHAR,THIAKHAR,02,250,SALLE DE CLASSE
BAMBEY,THIAKHAR,THIATHIAO,01,449,ABRI PROVISOIRE
BAMBEY,THIAKHAR,WAKHALDIAM 3,01,333,ABRI PROVISOIRE
