DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
DIOURBEL,PATTAR,DAROU SAMBE,01,531,CLASSE CM2
DIOURBEL,PATTAR,DAROU SAMBE,02,529,CLASSE CE2
DIOURBEL,PATTAR,DIAKAEL DIGUE,01,332,CLASSE CI
DIOURBEL,PATTAR,DIAKAEL DIGUE,02,333,CLASSE CP
DIOURBEL,PATTAR,ECOLE DABEL BARA,01,234,SALLE 1
DIOURBEL,PATTAR,ECOLE SAMBE NGOTHIE,01,207,SALLE 1
DIOURBEL,PATTAR,ECOLE SAMBE PEULH 1,01,272,SALLE 1
DIOURBEL,PATTAR,GAPPO,01,526,CLASSE CM2
DIOURBEL,PATTAR,KHABANE,01,216,ABRI PROVISOIRE
DIOURBEL,PATTAR,KHODJIL MBOSSEKH,01,482,CLASSE CM2
DIOURBEL,PATTAR,KHODJIL MBOSSEKH,02,327,CLASSE CI A
DIOURBEL,PATTAR,KOEL SERERE,01,145,SALLE DE CLASSE 1
DIOURBEL,PATTAR,NDIONAYE,01,358,CLASSE CE2
DIOURBEL,PATTAR,PATTAR,01,293,CLASSE CM2
DIOURBEL,PATTAR,PATTAR,02,292,CLASSE CM1
DIOURBEL,PATTAR,SAMBE NGUINTH,01,388,CASE SANTE
DIOURBEL,PATTAR,SAMBE NGUINTH,02,389,ABRI PROVISOIRE
DIOURBEL,PATTAR,SAMBE PEULH 2,01,383,CLASSE CE2
DIOURBEL,PATTAR,SAMBE TOKOSSONE 2,01,123,ABRI PROVISOIRE
DIOURBEL,PATTAR,SASSE,01,396,CLASSE CM1
DIOURBEL,PATTAR,THIOBE OUOLOF,01,422,CLASSE CM1
