DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
MBACKE,SADIO,BADJI,01,258,CLASSE CM
MBACKE,SADIO,BANANE WAGADOU,01,574,CLASSE CE
MBACKE,SADIO,BANANE WAGADOU,02,28,SALLE DE CLASSE
MBACKE,SADIO,DIABI 1,01,297,SALLE DE CLASSE
MBACKE,SADIO,GAYNA KEUR TAMSIR,01,498,CLASSE CM
MBACKE,SADIO,GUERLE OUOLOF,01,515,CLASSE CE
MBACKE,SADIO,KAMBEL,01,526,CLASSE CP
MBACKE,SADIO,MEDINA BOURLE,01,152,SALLE DE CLASSE
MBACKE,SADIO,NDIOUFENE,01,121,ECOLE ARABE
MBACKE,SADIO,NGARAF 1,01,374,CLASSE CP
MBACKE,SADIO,NGARAF MBAYENE,01,406,SALLE DE CLASSE
MBACKE,SADIO,SADIO,01,563,CLASSE CI
MBACKE,SADIO,SADIO,02,563,CLASSE CM2
MBACKE,SADIO,SADIO,03,564,CLASSE CP
MBACKE,SADIO,SADIO,04,573,CLASSE CE1
MBACKE,SADIO,SADIO,05,561,CLASSE CE2
MBACKE,SADIO,SADIO,06,561,CLASSE CM1
MBACKE,SADIO,SADIO,07,558,SALLE DE CLASSE
MBACKE,SADIO,SADIO,08,557,SALLE DE CLASSE
MBACKE,SADIO,SADIO,09,316,SALLE DE CLASSE
MBACKE,SADIO,SADIO MBAYARD,01,493,CLASSE CE1
MBACKE,SADIO,SADIO MBAYARD,02,493,CLASSE CM2
