DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FATICK,FIMELA,BABOUCAR TOUMBOU,01,390,ECOLE PUBLIQUE SN1
FATICK,FIMELA,DJILOR,01,573,ECOLE PUBLIQUE N2
FATICK,FIMELA,DJILOR,02,90,ECOLE PUBLIQUE N2
FATICK,FIMELA,FIMELA,01,595,ECOLE PUBLIQUE CLASSE CI B
FATICK,FIMELA,FIMELA,02,595,ECOLE PUBLIQUE CLASSE CE2B
FATICK,FIMELA,FIMELA,03,595,ECOLE PUBLIQUE CLASSE CM1B
FATICK,FIMELA,FIMELA,04,595,ECOLE PUBLIQUE CLASSE CM2A
FATICK,FIMELA,FIMELA,05,592,ECOLE PUBLIQUE CM2B
FATICK,FIMELA,KOBONGOYE 1,01,559,ECOLE PUBLIQUE CLASSE N1
FATICK,FIMELA,KOBONGOYE 1,02,52,ABRI PROVISOIRE
FATICK,FIMELA,MAR FAFACO,01,534,ECOLE PUBLIQUE CLASSE N1
FATICK,FIMELA,MAR FAFACO,02,534,ECOLE PUBLIQUE CLASSE N3
FATICK,FIMELA,MAR LOTHIE,01,552,ECOLE PUBLIQUE CLASSE N1
FATICK,FIMELA,MAR LOTHIE,02,552,ECOLE PUBLIQUE CLASSE N3
FATICK,FIMELA,MBISSEL,01,317,ECOLE PUBLIQUE CLASSE SN2
FATICK,FIMELA,NDANGANE,01,496,ECOLE PUBLQUE CLASSE SN1
FATICK,FIMELA,NDANGANE,02,496,ECOLE PUBLIQUE CLASSE SN3
FATICK,FIMELA,NDANGANE CAMPEMENT,01,436,ECOLE PUBLIQUE CLASSE SN1
FATICK,FIMELA,NDANGANE CAMPEMENT,02,438,ECOLE PUBLIQUE CLASSE SN3
FATICK,FIMELA,NDIEDIENG,01,482,ECOLE PUBLIQUE CLASSE SN1
FATICK,FIMELA,SAMBA DIA,01,582,CEM SALLE N1
FATICK,FIMELA,SAMBA DIA,02,582,CEM SALLE N3
FATICK,FIMELA,SAMBA DIA,03,580,CEM SALLE N5
FATICK,FIMELA,SAMBA DIA,04,368,CEM SALLE N 4
FATICK,FIMELA,SIMAL,01,593,ECOLE PUBLIQUE CLASSE SN1
FATICK,FIMELA,SIMAL,02,592,ECOLE PUBLIQUE CLASSE SN4
FATICK,FIMELA,SIMAL,03,65,ECOLE PUBLIQUE SALLE DE CLASSE
FATICK,FIMELA,YAYEME,01,478,ECOLE PUBLIQUE CLASSE SN2
FATICK,FIMELA,YAYEME,02,478,ECOLE PUBLIQUE CLASSE SN4
