DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,NIORO ALASSANE TALL,DANTAKHOUNE,01,383,ECOLE SALE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,DAROU KEUR IBRAHIMA SAGNANE,01,181,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,DIAMAGUENE,01,341,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,ECOLE ELEMENTAIRE KEUR AMATH SEUNE,01,329,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,ECOLE ELEMENTAIRE KEUR IBRA MBERI,01,224,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,ECOLE ELEMENTAIRE PASSI DIEMOUL,01,216,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR GAYE YACINE,01,304,ECOLE ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR LAHINE FATIM,01,363,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR LAHINE FATIM,02,362,ECOLE SALLE DE CLASSE
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR MALICK FADI,01,193,ECOLE ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR MAMA LAMINE SERERE,01,553,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR MAMA LAMINE SERERE,02,128,ECOLE SALLE 2
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR NGATANOR,01,370,ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR OMAR MBOMBE,01,157,ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR SABASSI,01,286,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR SAER GUEYE,01,360,ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,KEUR SERIGNE KHODIA,01,492,ECOLE ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,NDIAW MALICK,01,324,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,NDIAYENE KADE,01,296,ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,NDIAYENE MOUSSA,01,327,ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,NDIOKHOLOKHO,01,406,ECOLE ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,NDIOP THIARENE,01,339,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,NDRAME SADIABOU,01,454,ECOLE ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,NDRAME SADIABOU,02,125,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,NGAYEME THIEBO,01,311,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,Lieu de vote,Bureau,Electeurs,
FOUNDIOUGNE,NIORO ALASSANE TALL,NGAYEME THIEBO,02,310,ECOLE SALLE 2
FOUNDIOUGNE,NIORO ALASSANE TALL,NGOUGOUL,01,280,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,NIORO ALASSANE TALL,01,460,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,NIORO ALASSANE TALL,02,470,ECOLE SALLE 2
FOUNDIOUGNE,NIORO ALASSANE TALL,NIORO ALASSANE TALL,03,152,ECOLE SALLE 3
FOUNDIOUGNE,NIORO ALASSANE TALL,PAKALLA,01,392,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,PAKALLA,02,394,ECOLE SALLE 2
FOUNDIOUGNE,NIORO ALASSANE TALL,PAYOMA,01,245,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,SIMONG DIENE,01,248,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,THIOYENE NIOMBATO,01,324,ECOLE ABRI PROVISOIRE
FOUNDIOUGNE,NIORO ALASSANE TALL,TOUBA MOURIDE,01,318,ECOLE SALLE 1
FOUNDIOUGNE,NIORO ALASSANE TALL,TOUBA MOURIDE,02,317,ECOLE SALLE 2
