DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,SOKONE,CENTRE CATALOUNYA,01,572,SALLE DE REUNION
FOUNDIOUGNE,SOKONE,CENTRE CATALOUNYA,02,560,SALLE 41
FOUNDIOUGNE,SOKONE,CENTRE CATALOUNYA,03,574,SALLE 36
FOUNDIOUGNE,SOKONE,CENTRE CATALOUNYA,04,443,SALLE 5
FOUNDIOUGNE,SOKONE,ECOLE DES FILLES,01,551,CLASSE CPB
FOUNDIOUGNE,SOKONE,ECOLE DES FILLES,02,543,CLASSE CIB
FOUNDIOUGNE,SOKONE,ECOLE DES FILLES,03,559,CLASSE CE2B
FOUNDIOUGNE,SOKONE,ECOLE DES FILLES,04,491,CLASSE CE1A
FOUNDIOUGNE,SOKONE,ECOLE DES FILLES,05,465,CLASSE CM2 B
FOUNDIOUGNE,SOKONE,ECOLE GARCONS,01,546,CLASSE CE2B
FOUNDIOUGNE,SOKONE,ECOLE GARCONS,02,539,CLASSE CE2A
FOUNDIOUGNE,SOKONE,ECOLE GARCONS,03,540,CLASSE CIB
FOUNDIOUGNE,SOKONE,ECOLE GARCONS,04,270,CLASSE CI A
FOUNDIOUGNE,SOKONE,ECOLE SOKONE 3,01,557,CLASSE CM2B
FOUNDIOUGNE,SOKONE,ECOLE SOKONE 3,02,558,CLASSE CM1A
FOUNDIOUGNE,SOKONE,ECOLE SOKONE 3,03,557,CLASSE CE2B
FOUNDIOUGNE,SOKONE,ECOLE SOKONE 3,04,557,CLASSE CIB
FOUNDIOUGNE,SOKONE,ECOLE SOKONE 3,05,556,CLASSE CE1A
FOUNDIOUGNE,SOKONE,ECOLE SOKONE 3,06,515,CLASSE CE2A
FOUNDIOUGNE,SOKONE,ECOLE SOKONE 3,07,516,CLASSE CE1 B
