DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
FOUNDIOUGNE,TOUBACOUTA,AYDARA,01,230,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,BADOUDOU,01,425,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,BANI,01,586,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,BATAMAR,01,308,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,BETTENTI,01,505,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,BETTENTI,02,503,ECOLE SALLE 2
FOUNDIOUGNE,TOUBACOUTA,BETTENTI,03,505,ECOLE SALLE 3
FOUNDIOUGNE,TOUBACOUTA,BETTENTI,04,504,SALLE DE CLASSE
FOUNDIOUGNE,TOUBACOUTA,BOSSINKANG,01,487,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,BOUSSOURAH,01,90,ABRI PROVISOIRE
FOUNDIOUGNE,TOUBACOUTA,DAGA DIAODINE,01,142,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,DASSILAME,01,452,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,DASSILAME MISSIRAH,01,168,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,DASSILAME MISSIRAH,02,168,SALLE DE CLASSE
FOUNDIOUGNE,TOUBACOUTA,DIAGLE,01,333,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,DIAGLE,02,331,ECOLE SALLE 2
FOUNDIOUGNE,TOUBACOUTA,DJINACK BARA,01,241,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,KEUR ALIOU GUEYE,01,326,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,MEDINA SANGAKO,01,527,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,MEDINA SANGAKO,02,526,ECOLE SALLE 2
FOUNDIOUGNE,TOUBACOUTA,MISSIRAH,01,480,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,MISSIRAH,02,479,ECOLE SALLE 2
FOUNDIOUGNE,TOUBACOUTA,MISSIRAH,03,481,ECOLE SALLE 3
FOUNDIOUGNE,TOUBACOUTA,NDIAMBANG,01,147,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,NDOUMBOUDJI,01,555,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,NDOUMBOUDJI,02,557,ECOLE SALLE 2
FOUNDIOUGNE,TOUBACOUTA,NDOUMBOUDJI,03,105,ECOLE SALLE 3
FOUNDIOUGNE,TOUBACOUTA,NEMA BAH,01,365,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,NEMA BAH,02,364,CLASSE CE1 ECOLE ELEMENTAIRE
FOUNDIOUGNE,TOUBACOUTA,NEMA NDING,01,586,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,NEMA NDING,02,586,ECOLE SALLE 2
FOUNDIOUGNE,TOUBACOUTA,SANDICOLI,01,591,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,SAROUDIA,01,407,ECOLE ABRI PROVISOIRE
FOUNDIOUGNE,TOUBACOUTA,TOUBACOUTA,01,582,ECOLE SALLE 1
FOUNDIOUGNE,TOUBACOUTA,TOUBACOUTA,02,583,ECOLE SALLE 2
FOUNDIOUGNE,TOUBACOUTA,TOUBACOUTA,03,585,ECOLE SALLE 3
FOUNDIOUGNE,TOUBACOUTA,TOUBACOUTA,04,583,SALLE DE CLASSE
