DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
GOSSAS,MBAR,BAGDAD,01,266,ABRI PROVISOIRE
GOSSAS,MBAR,COUP COUP 2,01,137,SALLE DE CLASSE CP ECOLE
GOSSAS,MBAR,DAROU MARNANE,01,306,SALLE DE CLASSE CI ECOLE
GOSSAS,MBAR,DAROU MARNANE,02,304,SALLE DE CLASSE CP ECOLE
GOSSAS,MBAR,DAROU MINAME,01,169,ABRI PROVISOIRE
GOSSAS,MBAR,DAROU RAHMANE,01,258,ABRI PROVISOIRE
GOSSAS,MBAR,DAROU SACKOR,01,293,CASE DE SANTE
GOSSAS,MBAR,DAROU SALAM,01,274,SALLE DE CLASSE CI
GOSSAS,MBAR,DAROU SOURANG,01,169,ABRI PROVISOIRE
GOSSAS,MBAR,DEGUER,01,412,SALLE DE CLASSE CP ECOLE
GOSSAS,MBAR,DEGUER 2,01,167,SALLE DE CLASSE CM1 ECOLE ELEM
GOSSAS,MBAR,DEKHAYE,01,456,SALLE DE CLASSE CP ECOLE
GOSSAS,MBAR,GAZELLE,01,118,SALLE DE CLASSE CP ECOLE
GOSSAS,MBAR,KEUR NDIAGA MBAYE,01,126,ABRI PROVISOIRE
GOSSAS,MBAR,LANDANG,01,50,CLASSE CP
GOSSAS,MBAR,MAYAYE,01,174,SALLE DE CLASSE CP ECOLE
GOSSAS,MBAR,MBAMDJIGANE,01,223,SALLE DE CLASSE CP ECOLE
GOSSAS,MBAR,MBAR,01,575,SALLE DE CLASSE CI ECOLE
GOSSAS,MBAR,MBAR,02,574,SALLE DE CLASSE CE 1 A ECOLE
GOSSAS,MBAR,MBAR,03,574,SALLE DE CLASSE CE 2 A ECOLE
GOSSAS,MBAR,MBAR,04,572,SALLE DE CLASSE CM 1 A ECOLE
GOSSAS,MBAR,MBAR,05,573,SALLE DE CLASSE CM 2 A ECOLE
GOSSAS,MBAR,MBAR,06,575,SALLE DE CLASSE CI A ECOLE
GOSSAS,MBAR,MBAR,07,576,SALLE DE CLASSE
GOSSAS,MBAR,MBAR BAWANE,01,351,SALLE DE CLASSE CM2 ECOLE
GOSSAS,MBAR,NAMARI DIARGA,01,134,SALLE DE CLASSE CP ECOLE ELEM
GOSSAS,MBAR,NARGA,01,184,SALLE DE CLASSE CE 1 ECOLE
GOSSAS,MBAR,NICE,01,163,ABRI PROVISOIRE
GOSSAS,MBAR,OURO DIOUNDIO,01,151,SALLE DE CLASSE CE2 ECOLE
GOSSAS,MBAR,RANEVI,01,154,SALLE DE CLASSE CE 1 ECOLE
GOSSAS,MBAR,THINGUE,01,371,SALLE DE CLASSE CE 1 ECOLE
GOSSAS,MBAR,TOUBA FALL,01,389,ABRI PROVISOIRE
GOSSAS,MBAR,TOUBA NDIENE,01,205,SALLE DE CLASSE CP
GOSSAS,MBAR,WENDOU,01,330,SALLE DE CLASSE CE 1 ECOLE
GOSSAS,MBAR,YARGOUYE,01,306,SALLE DE CLASSE CE 1 ECOLE
