DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIRKILANE,DIAMAL,DIAMAL,01,517,ECOLE SALLE 1
BIRKILANE,DIAMAL,DIAMAL,02,517,ECOLE SALLE 2
BIRKILANE,DIAMAL,DIAMAL,03,516,SALLE DE CLASSE
BIRKILANE,DIAMAL,ECOLE ELEMENTAIRE GAMA,01,498,SALLE DE CLASSE
BIRKILANE,DIAMAL,ECOLE FRANCO-ARABE KEUR ISMAILA,01,452,SALLE DE CLASSE
BIRKILANE,DIAMAL,ECOLE KEBE GOUYE,01,427,SALLE DE CLASSE
BIRKILANE,DIAMAL,ECOLE NGORDJILENE MOURIDE,01,314,SALLE DE CLASSE
BIRKILANE,DIAMAL,FASS MAKHTAR,01,228,ABRI PROVISOIRE
BIRKILANE,DIAMAL,GAINTHE BOYE,01,191,ECOLE SALLE 1
BIRKILANE,DIAMAL,KEUR IBRAHIMA MBAYE,01,209,ECOLE SALLE 1
BIRKILANE,DIAMAL,KORKY BAMBARA,01,522,ECOLE SALLE 1
BIRKILANE,DIAMAL,LOUGOL,01,351,ECOLE SALLE 1
BIRKILANE,DIAMAL,NDANGHANE,01,416,ECOLE SALLE 1
