DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
BIRKILANE,NDIOGNICK,BAYTITE,01,329,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,BAYTITE,02,328,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,BOUCHRA,01,521,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,DAGA BIRAM,01,435,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,DAROU PAKALA,01,338,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,ECOLE ELEMENTAIRE KEUR PATHE DEME,01,538,SALLE DE CLASSE
BIRKILANE,NDIOGNICK,ECOLE ELEMENTAIRE KEUR SAWELY,01,481,SALLE DE CLASSE
BIRKILANE,NDIOGNICK,ECOLE ELEMENTAIRE KEUR SAWELY,02,480,SALLE DE CLASSE
BIRKILANE,NDIOGNICK,GOBACK SOUKOUM,01,529,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,GODJI AMADOU MATAR,01,521,CASE DE SANTE
BIRKILANE,NDIOGNICK,KETHIEWANE OUOLOF,01,478,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,KEUR MODOU NDIAMATOU,01,569,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,KEUR MODOU NDIAMATOU,02,113,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,KEUR NDARI,01,444,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,KEUR NDARI,02,444,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,KEUR SADER,01,412,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,LOUMENE,01,525,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,LOUMENE,02,528,ECOLE SALLE 2
BIRKILANE,NDIOGNICK,NANDJIGUI,01,392,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,NANDJIGUI,02,390,ABRI PROVISOIRE
BIRKILANE,NDIOGNICK,NDIAMACOLON,01,475,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,NDIAMACOLON,02,372,SALLE DE CLASSE
BIRKILANE,NDIOGNICK,NDIAYENE BAGANA,01,569,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,NDIMB KORKI,01,353,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,NDIMB KORKI,02,354,ECOLE SALLE 2
BIRKILANE,NDIOGNICK,NDIOGNICK,01,485,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,NDIOGNICK,02,486,ECOLE SALLE 2
BIRKILANE,NDIOGNICK,Lieu de vote,Bureau,Electeurs,
BIRKILANE,NDIOGNICK,NGOUYE,01,573,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,NGOUYE,02,569,ECOLE SALLE 2
BIRKILANE,NDIOGNICK,NGOUYE,03,112,ECOLE SALLE DE CLASSE
BIRKILANE,NDIOGNICK,SEGRE BAMBARA,01,268,CASE DE SANTE
BIRKILANE,NDIOGNICK,SEGRE SECCO,01,429,ECOLE SALLE 1
BIRKILANE,NDIOGNICK,SEGRE SECCO,02,428,ECOLE SALLE 2
BIRKILANE,NDIOGNICK,TAYFA,01,431,ABRI PROVISOIRE
