DEPARTEMENT,COMMUNES,LIEU DE VOTE,BUREAU,ELECTEURS,IMPLANTATION
KAFFRINE,DIAMAGADIO,BAMBALI,01,326,ABRI PROVISOIRE
KAFFRINE,DIAMAGADIO,DANKOU,01,296,ECOLE SALLE 01
KAFFRINE,DIAMAGADIO,DANKOU,02,296,ECOLE SALLE 02
KAFFRINE,DIAMAGADIO,DIAMAGADIO,01,585,ECOLE SALLE 1
KAFFRINE,DIAMAGADIO,DIAMAGADIO,02,582,ECOLE SALLE 2
KAFFRINE,DIAMAGADIO,DIAMAGADIO,03,584,ECOLE SALLE 3
KAFFRINE,DIAMAGADIO,DIAMAGADIO,04,207,ECOLE SALLE 4
KAFFRINE,DIAMAGADIO,ECOLE ARABE MEDINA DIERY,01,239,SALLE DE CLASSE
KAFFRINE,DIAMAGADIO,ECOLE ELEMENTAIRE LOUBA,01,582,SALLE DE CLASSE
KAFFRINE,DIAMAGADIO,ECOLE WINTINKOU,01,273,SALLE DE CLASSE
KAFFRINE,DIAMAGADIO,GOUYE MADI BOURI,01,300,ABRI PROVISOIRE
KAFFRINE,DIAMAGADIO,HAMDALLAYE,01,313,ABRI PROVISOIRE
KAFFRINE,DIAMAGADIO,KAYFARA SANTHIE,01,425,ABRI PROVISOIRE
KAFFRINE,DIAMAGADIO,KEUR MALLE,01,235,ABRI PROVISOIRE
KAFFRINE,DIAMAGADIO,KEUR NDIANGANE,01,309,ABRI PROVISOIRE
KAFFRINE,DIAMAGADIO,KEUR NDIANGANE,02,308,ABRI PROVISOIRE
KAFFRINE,DIAMAGADIO,MAGASIN KANOUMA MBOYENE,01,189,ABRI PROVISOIRE
KAFFRINE,DIAMAGADIO,MAKA ANDALLAH,01,218,ABRI PROVISOIRE
KAFFRINE,DIAMAGADIO,MEO NDIAWENE,01,563,ECOLE SALLE 1
KAFFRINE,DIAMAGADIO,NDAKHAR PEULH,01,193,SALLE DE CLASSE
KAFFRINE,DIAMAGADIO,NDANKH,01,306,ECOLE SALLE 01
KAFFRINE,DIAMAGADIO,NDIAO BAMBALI,01,573,ECOLE SALLE 1
KAFFRINE,DIAMAGADIO,PASSY NDIALAKH,01,217,ABRI PROVISOIRE
